acid,CHLOROSIS,
FC003609,2.7,8
FC021340,2,8
FC030233,3,8
FC030683,3.5,8
FC030684,3,8
FC030685,3,8
FC030687,3,8
FC030689,3,8
FC030691,1.5,8
FC030692,2,8
FC030694,3,8
FC031122,2,8
FC032033,3.5,8
FC032141,2,8
PI036653,2.5,8
PI054809,4.5,8
PI054834,3,8
PI054853,2.5,8
PI054854,2,8
PI054855,4.5,8
PI054857,3,8
PI054865,3.5,8
PI063271,1.5,8
PI068554,2.5,8
PI068572,2.7,8
PI068576,3.5,8
PI068586,4,8
PI068610,4,8
PI068722,2,8
PI068746,3.3,8
PI068770,3.5,8
PI069507,4.7,8
PI069533,4.3,8
PI070016,3,8
PI070017,2,8
PI070027,4.5,8
PI070087,2,8
PI070241,3,8
PI070485,2.5,8
PI070520,3.5,8
PI071161,2,8
PI078242,3,8
PI078243,3,8
PI079610,3,8
PI079617,2.5,8
PI079648,2,8
PI079694,2.5,8
PI079699,2,8
PI079727,3,8
PI079739,2.5,8
PI081033,1.5,8
PI081040,2,8
PI081765,2,8
PI081772,1,8
PI081775,4,8
PI082183,4,8
PI084668,3.7,8
PI084674,3,8
PI084686,3.5,8
PI084810,1.5,8
PI084964,2.5,8
PI086021,0.7,8
PI086133,3,8
PI086410,2.5,8
PI086411,2.5,8
PI086416,2,8
PI086737,3.5,8
PI087531,2,8
PI088288,4.5,8
PI088295,3.5,8
PI088443,3,8
PI088484,2,8
PI088497,3,8
PI088797,3,8
PI088804,2.5,8
PI089001,2.5,8
PI089055,3,8
PI089057,2.5,8
PI089058,3.7,8
PI089060,3.5,8
PI090567,4,8
PI091110,2.5,8
PI091123,3.5,8
PI091733,2.7,8
PI092468,3.5,8
PI092469,3.5,8
PI092470,3.7,8
PI092565,3,8
PI092649,4.5,8
PI092706,1.5,8
PI096152,2,8
PI096193,3.7,8
PI131531,0.7,8
PI132201,2.5,8
PI132203,1.5,8
PI132204,3.5,8
PI132205,3.5,8
PI132206,2.7,8
PI132207,2,8
PI132214,1.5,8
PI132215,3,8
PI132217,1.5,8
PI142491,4,8
PI151249,3,8
PI152361,1.5,8
PI152573,2.5,8
PI153203,5,8
PI153208,4,8
PI153209,3,8
PI153210,5,8
PI153211,1,8
PI153212,1.5,8
PI153213,2,8
PI153214,1.5,8
PI153215,4,8
PI153216,1.5,8
PI153217,1,8
PI153218,2,8
PI153219,2,8
PI153221,4.5,8
PI153222,3.5,8
PI153223,1.5,8
PI153225,1.5,8
PI153227,2.3,8
PI153229,3.7,8
PI153230,2,8
PI153233,3,8
PI153234,3.5,8
PI153235,1,8
PI153236,3,8
PI153237,2.5,8
PI153238,4,8
PI153239,1.5,8
PI153240,3,8
PI153241,2.5,8
PI153242,1.5,8
PI153244,3,8
PI153245,3.5,8
PI153246,1.5,8
PI153247,2.5,8
PI153249,2,8
PI153250,0.7,8
PI153251,3,8
PI153252,3,8
PI153253,3,8
PI153255,3.5,8
PI153259,2,8
PI153261,2,8
PI153262,2.5,8
PI153263,3.3,8
PI153265,2.5,8
PI153266,3.5,8
PI153267,2.5,8
PI153270,1.5,8
PI153271,3,8
PI153272,2,8
PI153273,2,8
PI153274,1.5,8
PI153275,1,8
PI153276,3.5,8
PI153277,2,8
PI153278,2.5,8
PI153279,2,8
PI153281,2,8
PI153282,4.7,8
PI153283,2,8
PI153284,2,8
PI153285,5,8
PI153286,3,8
PI153287,3,8
PI153290,2.5,8
PI153291,3.3,8
PI153293,2.5,8
PI153294,2.5,8
PI153296,3,8
PI153297,2,8
PI153299,3,8
PI153300,1.5,8
PI153301,3,8
PI153302,2,8
PI153303,3,8
PI153304,2.5,8
PI153305,2.5,8
PI153306,2.5,8
PI153310,3.5,8
PI153311,4,8
PI153313,1,8
PI153314,1,8
PI153315,3,8
PI153316,1.5,8
PI153317,1.5,8
PI153318,3.5,8
PI153319,2,8
PI153320,3.5,8
PI154189,3.5,8
PI154190,1.5,8
PI154191,2,8
PI154192,2.5,8
PI154193,2,8
PI154194,3.5,8
PI154196,3.5,8
PI154197,3,8
PI154198,2.5,8
PI154199,2.5,8
PI154200,2.5,8
PI159764,2.5,8
PI161988,3,8
PI161989,3,8
PI171421,3,8
PI179822,3,8
PI180499,4,8
PI180501,4,8
PI180502,4,8
PI180507,3,8
PI180508,1,8
PI180509,1,8
PI180516,1.5,8
PI180517,1.5,8
PI180519,2.5,8
PI180521,2.5,8
PI180524,3,8
PI180525,2.5,8
PI180529,3.5,8
PI180530,3,8
PI180532,3,8
PI181531,2.5,8
PI181532,1,8
PI181536,2.5,8
PI181538,0.7,8
PI181570,2,8
PI181571,3,8
PI184042,2.5,8
PI184043,3.5,8
PI184044,2.7,8
PI184045,3,8
PI184046,3.5,8
PI184047,2.5,8
PI189857,3,8
PI189859,3,8
PI189860,3,8
PI189861,2.5,8
PI189862,3,8
PI189863,2.5,8
PI189864,2.5,8
PI189866,2.5,8
PI189867,2,8
PI189868,3,8
PI189869,3,8
PI189870,2.5,8
PI189871,2,8
PI189872,3,8
PI189873,3,8
PI189874,2,8
PI189875,4,8
PI189876,3.5,8
PI189877,4,8
PI189878,3.5,8
PI189879,4,8
PI189880,3,8
PI189881,2,8
PI189882,3,8
PI189883,3.5,8
PI189885,3.5,8
PI189886,4,8
PI189888,4,8
PI189890,3.5,8
PI189892,2.5,8
PI189893,3,8
PI189894,3,8
PI189896,4,8
PI189897,3.5,8
PI189898,2.5,8
PI189899,2,8
PI189900,3,8
PI189901,2,8
PI189903,2.5,8
PI189904,1,8
PI189906,1.5,8
PI189907,2.3,8
PI189911,2,8
PI189913,2,8
PI189915,3,8
PI189916,2,8
PI189917,3.5,8
PI189918,2,8
PI189919,1.7,8
PI189921,2.5,8
PI189922,4.5,8
PI189923,2.5,8
PI189924,2.5,8
PI189925,2,8
PI189932,3,8
PI189936,2,8
PI189937,2,8
PI189938,1,8
PI189939,2.5,8
PI189940,3.5,8
PI189941,3,8
PI189944,2,8
PI189945,2.7,8
PI189946,2.5,8
PI189947,4,8
PI189950,1.5,8
PI189951,1.5,8
PI189952,4,8
PI189955,1,8
PI189956,3,8
PI189960,2,8
PI189961,1.5,8
PI189962,1.5,8
PI189963,3,8
PI189964,1,8
PI189965,2,8
PI189966,1.5,8
PI189967,3,8
PI189968,3,8
PI194624,1.5,8
PI194625,1.5,8
PI194626,1.5,8
PI194627,3,8
PI194630,1.5,8
PI194631,1,8
PI194632,2.5,8
PI194633,1.5,8
PI194634,2,8
PI194635,2,8
PI194636,2,8
PI194638,2,8
PI194639,2,8
PI194640,2.5,8
PI194641,3,8
PI194643,1,8
PI194644,3,8
PI194645,2,8
PI194646,3,8
PI194647,2.5,8
PI194648,2.5,8
PI194653,3,8
PI194654,2.5,8
PI194655,2,8
PI194656,1.5,8
PI196159,3.5,8
PI196160,0.7,8
PI196325,2.5,8
PI196485,2,8
PI196486,1,8
PI196491,2,8
PI196501,1,8
PI196502,1.5,8
PI196504,1,8
PI196525,1,8
PI196526,1.5,8
PI196527,2.5,8
PI196528,1.5,8
PI196529,2.5,8
PI196530,2,8
PI198067,1.5,8
PI200508,3,8
PI200593,3.5,8
PI200594,1,8
PI200595,3,8
PI204652,2,8
PI204653,2.5,8
PI205085,3,8
PI205090,3,8
PI227322,2,8
PI227323,2,8
PI227325,2.7,8
PI227326,2,8
PI227327,3.5,8
PI227329,2.7,8
PI227330,1,8
PI227331,2.5,8
PI227565,1.5,8
PI229328,2.7,8
PI229330,1.5,8
PI229354,1.3,8
PI231172,2,8
PI232899,2,8
PI232900,1,8
PI232901,2.5,8
PI232902,2.5,8
PI232994,3,8
PI232995,3,8
PI232996,3,8
PI232997,3.5,8
PI232998,4,8
PI232999,3.5,8
PI238920,2.5,8
PI238921,3,8
PI238923,2,8
PI238924,2.5,8
PI238925,3,8
PI240079,2,8
PI243547,1.5,8
PI243550,2,8
PI248395,1.5,8
PI248397,3,8
PI248399,2.5,8
PI248400,2,8
PI248401,3,8
PI248403,2,8
PI248404,3.5,8
PI248405,1,8
PI248406,3.5,8
PI248407,2.5,8
PI248408,1.5,8
PI248409,2.5,8
PI248410,3.7,8
PI248512,1.5,8
PI250002,2,8
PI250844,2.5,8
PI251585,4.7,8
PI251586,3.5,8
PI257428,2,8
PI257429,3,8
PI257430,4,8
PI257431,2.5,8
PI257432,3,8
PI257433,3,8
PI257434,3,8
PI257435,2.5,8
PI257436,3,8
PI257437,2.5,8
PI257438,2.5,8
PI257439,2.5,8
PI258383,1.5,8
PI258384,3,8
PI258385,2.5,8
PI258386,3,8
PI258387,3,8
PI261469,2.5,8
PI261475,1.5,8
PI290124,2.5,8
PI290128,3,8
PI290134,2.7,8
PI290149,4,8
PI291272,1.5,8
PI291273,2.5,8
PI291275,3.5,8
PI291276,2,8
PI291277,3,8
PI291278,2,8
PI291279,3.7,8
PI291281,1.5,8
PI291282,2,8
PI291283,1.7,8
PI291284,2,8
PI291290,3,8
PI291291,3,8
PI291294,3.5,8
PI291300,3,8
PI291304,1.5,8
PI291305,3.5,8
PI291322,2.5,8
PI291323,2.5,8
PI291324,3.5,8
PI291328,2.5,8
PI297500,3.3,8
PI297502,2,8
PI297505,3.5,8
PI297511,4,8
PI297514,4,8
PI297538,3,8
PI297541,3.5,8
PI297548,2.5,8
PI297551,3.5,8
PI317332,2.5,8
PI317335,4,8
PI326579,3,8
PI326580,4,8
PI342437,2.5,8
PI347541,3.5,8
PI347542,3,8
PI347543,3,8
PI347560,3,8
PI358314,2.5,8
PI358319,3,8
PI361057,3,8
PI361075,3.5,8
PI361081,3,8
PI361087,3,8
PI361089,3,8
PI361090,2.5,8
PI361092,4,8
PI361093,2.7,8
PI361095,3,8
PI361096,3.5,8
PI361098,4.5,8
PI361099,3,8
PI361104,3,8
PI361113,3,8
PI361115,1,8
PI361117,2,8
PI372418,3,8
PI378655,3,8
PI378663,1.3,8
PI378671,3.7,8
PI378679,1,8
PI383276,1.5,8
PI384470,2,8
PI391584,3,8
PI401418,4,8
PI404156,4.5,8
PI404157,3.7,8
PI404158,4.5,8
PI407654,4,8
PI407701,4,8
PI407704,2.5,8
PI407705,2,8
PI407710,2.5,8
PI407712,2,8
PI407715,4.5,8
PI407716,3.5,8
PI407718,4,8
PI407723,2,8
PI407726,4.5,8
PI415072,2.5,8
PI416747,2.7,8
PI416751,1.3,8
PI416757,3.5,8
PI416776,1.5,8
PI416782,1,8
PI416878,3,8
PI416887,1.5,8
PI416906,2.5,8
PI416910,3,8
PI416911,3.5,8
PI416915,3.5,8
PI416921,2.5,8
PI416923,3.5,8
PI416940,2,8
PI416946,2,8
PI416963,2.5,8
PI416974,2.5,8
PI416978,3.7,8
PI416985,1.5,8
PI417012,2.5,8
PI417024,1.5,8
PI417043,4,8
PI417059,3.5,8
PI417076,3,8
PI417139,2,8
PI417143,1.5,8
PI417144,3.5,8
PI417210,3.3,8
PI417226,3,8
PI417227,3,8
PI417228,2,8
PI417294,4,8
PI417295,3.5,8
PI417296,3.7,8
PI417299,4.5,8
PI417300,2,8
PI417326,3,8
PI417327,3.5,8
PI417451,2.7,8
PI417453,2.5,8
PI417509,3,8
