acid,Fe026,
FC003659,5,8
FC003981,2,8
FC030267,2,8
FC030282,2,8
FC030967,2,8
FC031416,5,8
FC031622,5,8
FC031649,5,8
FC031665,3,8
FC031676,5,8
FC031677,5,8
FC031689,2,8
FC031700,4,8
FC031707,5,8
FC031709,3,8
FC031732,5,8
FC031737,4,8
FC031744,2,8
FC031745,2,8
FC031750,6,8
FC031921,5,8
FC031927,3,8
FC031933,6,8
FC031935,6,8
FC031943,2,8
FC032175,3,8
FC033123,5,8
PI036906,3,8
PI054610,5,8
PI071558,5,8
PI071564,5,8
PI071570,5,8
PI079825,4,8
PI079861,4,8
PI079862,4,8
PI080468,3,8
PI080476,4,8
PI081029,3,8
PI081037,3,8
PI082312,3,8
PI084642,6,8
PI084967,2,8
PI085010,5,8
PI085416,2,8
PI085465,5,8
PI085476,2,8
PI085490,2,8
PI086091,5,8
PI086109,4,8
PI086490,5,8
PI086904,4,8
PI087002,4,8
PI087565,3,8
PI087968,5,8
PI088461,5,8
PI089469,2,8
PI089775,4,8
PI090406,5,8
PI090495,2,8
PI090499,2,8
PI090577,5,8
PI090768,4,8
PI092567,4,8
PI092601,2,8
PI094159,4,8
PI095860,2,8
PI095960,4,8
PI095969,4,8
PI096035,2,8
PI096257,4,8
PI096354,2,8
PI097094,5,8
PI097100,2,8
PI097150,2,8
PI097161,4,8
PI123439,5,8
PI145079,2,8
PI148260,5,8
PI153681,4,8
PI153682,2,8
PI157475,5,8
PI157476,2,8
PI157488,2,8
PI159093,2,8
PI159094,5,8
PI159095,2,8
PI159096,2,8
PI159097,4,8
PI159321,2,8
PI159322,2,8
PI165563,5,8
PI165578,2,8
PI165671,1,8
PI165672,2,8
PI165673,0,8
PI165675,5,8
PI165676,0,8
PI165896,2,8
PI165914,5,8
PI165926,5,8
PI165929,5,8
PI165943,2,8
PI165947,5,8
PI165989,5,8
PI166028,5,8
PI166032,5,8
PI166048,5,8
PI166105,6,8
PI166140,2,8
PI166141,1,8
PI166147,5,8
PI170886,5,8
PI170887,2,8
PI170888,5,8
PI170889,5,8
PI170890,4,8
PI170891,5,8
PI170892,1,8
PI171436,5,8
PI171437,5,8
PI171438,2,8
PI171439,0,8
PI171440,2,8
PI171443,2,8
PI171444,1,8
PI171445,5,8
PI171446,5,8
PI171451,2,8
PI174853,5,8
PI174855,4,8
PI174856,2,8
PI174857,5,8
PI174858,2,8
PI174862,6,8
PI174863,5,8
PI174866,2,8
PI174868,2,8
PI175174,5,8
PI175180,4,8
PI175181,0,8
PI175182,5,8
PI175183,4,8
PI175185,5,8
PI175186,5,8
