acid,Fe2.10003
PI304218,1
PI423929,1
PI417135A,1
PI417434,1
PI417578,1
PI404172,1
PI398680,1
PI398682,1
PI404198B,1
PI340035,1
PI340037,1
PI361103,1
PI423734,1
PI423789,1
PI423790,1
PI423827A,1
PI423836,1
PI423837A,1
PI423842,1
PI424214A,1
PI424221B,1
PI424222A,1
PI424237A,1
PI424239,1
PI424244,1
PI424250B,1
PI424278B,1
PI424342B,1
PI424345,1
PI424352,1
PI424354,1
PI424367,1
PI424400,1
PI424406A,1
PI424409,1
PI424414,1
PI424420,1
PI424430,1
PI424450,1
PI424458,1
PI424477,1
PI424487B,1
PI424495,1
PI424498,1
PI398206,1
PI398245,1
PI398250,1
PI398371,1
PI398375,1
PI398389,1
PI398609,1
PI398621,1
PI398631,1
PI398674,1
PI398737,1
PI398843,1
PI398880,1
PI398944,1
PI398946,1
PI399017,1
PI399023,1
PI399079,1
PI423848,1
PI423791,1
PI423792,1
PI423808A,1
PI423808B,1
PI424214C,1
PI424276,1
PI424320,1
PI424412,1
PI424452,1
PI424468,1
PI398299,1
PI398305,1
PI398867,1
PI398868,1
PI399004,1
PI423833A,1
PI274205,1
PI398919,1
PI398975,1
PI407776,1
PI407778B,1
PI407778C,1
PI407781A,1
PI407818B,1
PI407820,1
PI407845B,1
PI407861C,1
PI407867B,1
PI407895,1
PI407913A,1
PI407914C,1
PI407917,1
PI407918A,1
PI407918B,1
PI407927B,1
PI407934,1
PI407959B,1
PI407986A,1
PI407988A,1
PI407991,1
PI407996,1
PI407998A,1
PI407998C,1
PI408014,1
PI408016A,1
PI408019C,1
PI408020B,1
PI408020C,1
PI408029,1
PI408032B,1
PI408067A,1
PI408074B,1
PI408074C,1
PI408095B,1
PI408114,1
PI408124B,1
PI408124C,1
PI408124D,1
PI408125A,1
PI408132,1
PI408134A,1
PI408169B,1
PI408173,1
PI408196A,1
PI408196B,1
PI408197A,1
PI408198,1
PI408203B,1
PI408221A,1
PI408224B,1
PI408225A,1
PI408227,1
PI408245,1
PI408260B,1
PI408265A,1
PI408272C,1
PI408275,1
PI408281A,1
PI408289,1
PI408310B,1
PI408316,1
PI408319B,1
PI408320,1
PI408335A,1
PI408335B,1
PI408338,1
PI423756B,1
PI423799B,1
PI423850,1
PI424348C,1
PI424426,1
PI398875,1
PI399022,1
PI407863,1
PI407976A,1
PI407979,1
PI407981B,1
PI407985,1
PI407992,1
PI408004-1,1
PI408008,1
PI408010-1,1
PI408020D,1
PI408055C,1
PI408058,1
PI408076B,1
PI408138D,1
PI408166B,1
PI408170,1
PI408178,1
PI408184A,1
PI408187,1
PI408189,1
PI408209C,1
PI408212B,1
PI408221B,1
PI408222B,1
PI408222C,1
PI408229C,1
PI408231,1
PI408259A,1
PI408265B,1
PI408302,1
PI408307C,1
PI408309,1
PI408311-1,1
PI423811,1
PI424140,1
PI424149,1
PI424150,1
PI424151,1
PI424154B,1
PI424156A,1
PI424164A,1
PI424165,1
PI424167,1
PI424171A,1
PI424171B,1
PI424172A,1
PI424175,1
PI424179A,1
PI424181,1
PI424188A,1
PI424188B,1
PI424238,1
PI424254,1
PI424257B,1
PI424293,1
PI424294A,1
PI424294B,1
PI424298,1
PI424499B,1
PI424499C,1
PI424499D,1
PI424503,1
PI424506,1
PI424509,1
PI424517B,1
PI424518,1
PI424521A,1
PI424522,1
PI424529,1
PI424530,1
PI424531,1
PI424532,1
PI424536,1
PI424539,1
PI424542,1
PI424544,1
PI424545,1
PI424546B,1
PI424547,1
PI424552,1
PI424554,1
PI424555A,1
PI424555B,1
PI424556,1
PI424557,1
PI424558A,1
PI424559,1
PI424561,1
PI424566,1
PI424567,1
PI424571,1
PI424579,1
PI424581,1
PI424582,1
PI424583,1
PI424584,1
PI424588,1
PI424590A,1
PI424590B,1
PI424592,1
PI424599,1
PI424607,1
PI424608B,1
PI424613,1
PI424617,1
PI424275,1
PI423731,1
PI423752B,1
PI423753B,1
PI423769B,1
PI423839,1
PI424214B,1
PI424223,1
PI424251A,1
PI424268,1
PI424278A,1
PI424279,1
PI424300A,1
PI424302,1
PI424307,1
PI424321,1
PI424322,1
PI424324A,1
PI424329,1
PI424332,1
PI424403,1
PI424406B,1
PI424436,1
PI424466,1
PI424484B,1
PI424491A,1
PI424493A,1
PI398270,1
PI398417,1
PI398429,1
PI398503,1
PI398634,1
PI398873,1
PI398877,1
PI399106,1
PI399112,1
PI423843,1
PI424374,1
PI424431,1
PI424460,1
PI424494,1
PI398499,1
PI274210,1
PI339865B,1
PI339987,1
PI339997,1
PI340039,1
PI340040,1
PI340054,1
PI398197,1
PI398211,1
PI398221,1
PI398236,1
PI398257,1
PI398289,1
PI398327,1
PI398342,1
PI398379,1
PI398392,1
PI398408,1
PI398412,1
PI398425,1
PI398426,1
PI398430,1
PI398439,1
PI398441,1
PI398443,1
PI398450,1
PI398489,1
PI398501,1
PI398523,1
PI398529,1
PI398558,1
PI398588,1
PI398644,1
PI398705,1
PI398716,1
PI398738,1
PI398743,1
PI398753,1
PI398758,1
PI398759,1
PI398768,1
PI398801,1
PI398802,1
PI398838,1
PI399046,1
PI399070,1
PI406709,1
PI407860,1
PI407902B,1
PI407972C,1
PI408006,1
PI408013,1
PI408032A,1
PI408033,1
PI408039,1
PI408069,1
PI408070B,1
PI408071,1
PI408083A,1
PI408084B,1
PI408109A,1
PI408116,1
PI408126B,1
PI408133,1
PI408137B,1
PI408166A,1
PI408171,1
PI408174,1
PI408197B,1
PI408203A,1
PI408209B,1
PI408217B,1
PI408228B,1
PI408229A,1
PI408232,1
PI408233A,1
PI408233B,1
PI408234B,1
PI408235,1
PI408249,1
PI408256,1
PI408260C,1
PI408262C,1
PI408262D,1
PI408263,1
PI408271,1
PI408285B,1
PI408290,1
PI408314,1
PI417345B,1
PI423729,1
PI423746,1
PI423748C,1
PI423749,1
PI423750,1
PI423752A,1
PI423763,1
PI423765,1
PI423766,1
PI423768,1
PI423770,1
PI423778,1
PI423795,1
PI423800,1
PI423803,1
PI423809,1
PI423813,1
PI423816,1
PI423819,1
PI423825,1
PI423833B,1
PI423835,1
PI423841,1
PI423845B,1
PI423846,1
PI423851,1
PI424211,1
PI424216,1
PI424217A,1
PI424217B,1
PI424220A,1
PI424220B,1
PI424232B,1
PI424235,1
PI424236,1
PI424243,1
PI424250A,1
PI424253,1
PI424257A,1
PI424260,1
PI424262,1
PI424267,1
PI424270A,1
PI424270B,1
PI424271,1
PI424272B,1
PI424274B,1
PI424284B,1
PI424287,1
PI424288,1
PI424289,1
PI424296B,1
PI424299B,1
PI424301,1
PI424309A,1
PI424310,1
PI424311,1
PI424314,1
PI424315,1
PI424326,1
PI424327,1
PI424328,1
PI424330,1
PI424369,1
PI424379,1
PI424383,1
PI424384,1
PI424387,1
PI424395,1
PI424399,1
PI424401,1
PI424407,1
PI424421,1
PI424427,1
PI424428,1
PI424465,1
PI424469,1
PI424470,1
PI424472A,1
PI424472B,1
PI424497,1
PI424227B,1
PI339981,1
PI360845,1
PI360846,1
PI342004,1
PI423877,1
PI423902,1
PI423910,1
PI423983,1
PI424255C,1
PI424344,1
PI379560,1
PI399028,1
PI407867A,1
PI408064,1
PI416769A,1
PI416779,1
PI416801,1
PI416839,1
PI416840,1
PI416859,1
PI416864,1
PI416872,1
PI416950,1
PI416958,1
PI416959,1
PI417102A,1
PI417102B,1
PI417207,1
PI417371,1
PI417431,1
PI424580,1
PI360836,1
PI342005,1
PI360842,1
PI417147,1
PI424312,1
PI424492,1
PI274420,1
PI379562B,1
PI360847,1
PI273484,1
PI340042,1
PI398357,1
PI398360,1
PI398537,1
PI398559,1
PI398652,1
PI398767,1
PI398916,1
PI398923,1
PI399054,1
PI408065,1
PI408070A,1
PI408179,1
PI408332A,1
PI416755,1
PI416756,1
PI416837,1
PI416842,1
PI416855,1
PI416882,1
PI416888,1
PI416919,1
PI416939,1
PI416995,1
PI417179B,1
PI417199,1
PI417276,1
PI417293,1
PI417301,1
PI417413,1
PI417435,1
PI417437,1
PI417472C,1
PI423926,1
PI424282,1
PI424323,1
PI424449,1
PI424564,1
PI423897,1
PI424348B,1
PI407981C,1
PI398878,1
PI398421,1
PI424245,1
PI417412,1
PI379562A,1
PI340034,1
PI398251,1
PI398281,1
PI274211,1
PI339865A,1
PI407900,1
PI407914D,1
PI407924,1
PI408062,1
PI408068B,1
PI408288,1
PI407937-1,1
PI407975A,1
PI407977,1
PI408097,1
PI408125B,1
PI424241,1
PI398350,1
PI398358,1
PI398472,1
PI398519,1
PI398657,1
PI398698,1
PI398788,1
PI398912,1
PI398926,1
PI407858,1
PI407972B,1
PI424370B,1
PI398720,1
PI417305,1
PI407988B,1
PI398252,1
PI417471,1
PI399018,2
PI406708,2
PI407892C,2
PI408119,2
PI408181D,2
PI408225B,2
PI408230,2
PI424169A,2
PI424169B,2
PI424180,2
PI424523A,2
PI424523B,2
PI424537,2
PI424574,2
PI424596,2
PI274209,2
PI423787,2
PI339983,2
PI340010,2
PI398762,2
PI398964,2
PI408215A,2
PI423737,2
PI424246,2
PI424270C,2
PI424285D,2
PI424299C,2
PI424313,2
PI424454,2
PI423975,2
PI399019,2
PI408334,2
PI274207,2
PI408072,2
PI398463,2
PI274421,3
PI404198A,3
PI407904,3
PI407906,3
PI408015,3
PI408055B,3
PI408074A,3
PI408201A,3
PI408319C,3
PI408329,3
PI407966B,3
PI408021,3
PI408103,3
PI408181A,3
PI408186B,3
PI424135,3
PI424177,3
PI424184,3
PI424543,3
PI399031,3
PI339870,3
PI339996,3
PI340015,3
PI340048,3
PI340053B,3
PI398190,3
PI398290,3
PI398444,3
PI398848,3
PI398942,3
PI407932B,3
PI408100B,3
PI408217C,3
PI408248B,3
PI408269D,3
PI408270B,3
PI408284,3
PI408291,3
PI424215,3
PI424226,3
PI424230,3
PI424357B,3
PI424462C,3
PI424189,3
PI424516,3
PI274208,3
PI340002,3
PI407966A,3
PI416942,3
PI417302,3
PI399069,3
PI398615,3
PI424168B,3
PI407733,4
PI398941,4
PI398985,4
PI424219B,4
PI407883,4
PI424153,4
PI424162,4
PI424168A,4
PI424173,4
PI423863B,4
PI340027,4
PI340036,4
PI398482,4
PI398484,4
PI398761,4
PI398849,4
PI398913,4
PI398963,4
PI408018,4
PI424228,4
PI424277B,4
PI408036,4
PI340012,4
PI398904,4
PI398891,4
PI408333,4
PI398988,5
PI399015,5
PI407947,5
PI407976B,5
PI398205,5
PI398486,5
PI398842,5
PI398886,5
PI398889,5
PI417086B,5
PI398901,5
PI398401,5
