acid,Fe2
PI398697,1
PI417559,1
PI404165,1
PI417243,1
PI417345A,1
PI417015,1
PI417005,1
PI417071,1
PI304218,1
PI404163,1
PI398726,1
PI408026,1
PI408321,1
PI283330,1
PI323555,1
PI323556,1
PI398293,1
PI404153,1
PI424550,1
PI416988,1
PI423929,1
PI417135A,1
PI417361,1
PI417434,1
PI417457,1
PI417380,1
PI404185,1
PI417578,1
PI283332,1
PI404164,1
PI404159,1
PI404172,1
PI406710,1
PI398680,1
PI398682,1
PI404166,1
PI404198B,1
PI339995,1
PI340035,1
PI340037,1
PI361103,1
PI273483C,1
PI273483D,1
PI274212,1
PI339864A,1
PI339868D,1
PI340046,1
PI340049,1
PI423747A,1
PI423826B,1
PI398395,1
PI398841,1
PI398227,1
PI398297,1
PI398694,1
PI398702,1
PI398747,1
PI398755,1
PI399008,1
PI399077,1
PI399080,1
PI424366,1
PI398311,1
PI423734,1
PI423789,1
PI423790,1
PI423827A,1
PI423836,1
PI423837A,1
PI423842,1
PI424214A,1
PI424221B,1
PI424222A,1
PI424237A,1
PI424239,1
PI424244,1
PI424250B,1
PI424278B,1
PI424342B,1
PI424345,1
PI424352,1
PI424354,1
PI424367,1
PI424400,1
PI424406A,1
PI424409,1
PI424414,1
PI424420,1
PI424430,1
PI424450,1
PI424458,1
PI424477,1
PI424487B,1
PI424495,1
PI424498,1
PI398206,1
PI398245,1
PI398250,1
PI398371,1
PI398375,1
PI398389,1
PI398609,1
PI398621,1
PI398631,1
PI398674,1
PI398737,1
PI398843,1
PI398880,1
PI398944,1
PI398946,1
PI399017,1
PI399023,1
PI399079,1
PI423848,1
PI423791,1
PI423792,1
PI423808A,1
PI423808B,1
PI424214C,1
PI424276,1
PI424320,1
PI424412,1
PI424452,1
PI424468,1
PI398299,1
PI398305,1
PI398867,1
PI398868,1
PI399004,1
PI423788,1
PI423802,1
PI423858,1
PI424234A,1
PI424234B,1
PI424285C,1
PI424316,1
PI424317,1
PI424342A,1
PI424349B,1
PI424349C,1
PI424355,1
PI424389,1
PI424396,1
PI424397,1
PI424413,1
PI424444B,1
PI424479,1
PI424489A,1
PI424489B,1
PI398191,1
PI398198,1
PI398214,1
PI398386,1
PI398565,1
PI398636,1
PI398764,1
PI398847,1
PI398857,1
PI398887,1
PI398940,1
PI398953,1
PI398959,1
PI399016,1
PI399036,1
PI399051,1
PI399119,1
PI423784,1
PI424247A,1
PI424247B,1
PI424249C,1
PI424249D,1
PI424264,1
PI424429,1
PI398298,1
PI398306,1
PI398572,1
PI398772,1
PI398884,1
PI423833A,1
PI407850,1
PI407861A,1
PI407933,1
PI398710,1
PI404169B,1
PI404182,1
PI404186,1
PI407653,1
PI407659A,1
PI407861B,1
PI407907A,1
PI407926B,1
PI408050A,1
PI408052A,1
PI408075,1
PI416904B,1
PI417079,1
PI417526,1
PI274205,1
PI398919,1
PI398975,1
PI407776,1
PI407778B,1
PI407778C,1
PI407781A,1
PI407818B,1
PI407820,1
PI407845B,1
PI407861C,1
PI407867B,1
PI407895,1
PI407913A,1
PI407914C,1
PI407917,1
PI407918A,1
PI407918B,1
PI407927B,1
PI407934,1
PI407959B,1
PI407986A,1
PI407988A,1
PI407991,1
PI407996,1
PI407998A,1
PI407998C,1
PI408014,1
PI408016A,1
PI408019C,1
PI408020B,1
PI408020C,1
PI408029,1
PI408032B,1
PI408067A,1
PI408074B,1
PI408074C,1
PI408095B,1
PI408114,1
PI408124B,1
PI408124C,1
PI408124D,1
PI408125A,1
PI408132,1
PI408134A,1
PI408169B,1
PI408173,1
PI408196A,1
PI408196B,1
PI408197A,1
PI408198,1
PI408203B,1
PI408221A,1
PI408224B,1
PI408225A,1
PI408227,1
PI408245,1
PI408260B,1
PI408265A,1
PI408272C,1
PI408275,1
PI408281A,1
PI408289,1
PI408310B,1
PI408316,1
PI408319B,1
PI408320,1
PI408335A,1
PI408335B,1
PI408338,1
PI423756B,1
PI423799B,1
PI423850,1
PI424348C,1
PI424426,1
PI408105A,1
PI340017,1
PI398854,1
PI404183,1
PI404197,1
PI407658A,1
PI407658B,1
PI407772A,1
PI407772B,1
PI407778A,1
PI407781B,1
PI407786A,1
PI407788B,1
PI407795B,1
PI407805A,1
PI407805D,1
PI407806A,1
PI407806B,1
PI407812,1
PI407817,1
PI407818A,1
PI407823,1
PI407827,1
PI407832A,1
PI407832B,1
PI407833A,1
PI407845A,1
PI407847,1
PI407848,1
PI407862,1
PI407877B,1
PI407892A,1
PI407907B,1
PI407914A,1
PI407922,1
PI407949,1
PI407952A,1
PI407952B,1
PI407959A,1
PI407960A,1
PI407960B,1
PI407973A,1
PI408016B,1
PI408019B,1
PI408020A,1
PI408048A,1
PI408048B,1
PI408055A,1
PI408057,1
PI408068A,1
PI408076A,1
PI408079A,1
PI408090,1
PI408092A,1
PI408092B,1
PI408095A,1
PI408105B,1
PI408108,1
PI408110A,1
PI408124A,1
PI408135B,1
PI408137A,1
PI408138A,1
PI408138C,1
PI408140A,1
PI408140B,1
PI408169A,1
PI408169D,1
PI408172,1
PI408194,1
PI408199,1
PI408201B,1
PI408210,1
PI408211A,1
PI408211B,1
PI408214,1
PI408224A,1
PI408226A,1
PI408236,1
PI408255B,1
PI408258,1
PI408269A,1
PI408272B,1
PI408277,1
PI408280,1
PI408287,1
PI408292,1
PI408306,1
PI408307A,1
PI408310A,1
PI424540,1
PI424541,1
PI408255A,1
PI415074,1
PI424078,1
PI424134,1
PI424444A,1
PI424568,1
PI424569A,1
PI427088D,1
PI427106,1
PI427107A,1
PI398875,1
PI399022,1
PI407863,1
PI407976A,1
PI407979,1
PI407981B,1
PI407985,1
PI407992,1
PI408004-1,1
PI408008,1
PI408010-1,1
PI408020D,1
PI408055C,1
PI408058,1
PI408076B,1
PI408138D,1
PI408166B,1
PI408170,1
PI408178,1
PI408184A,1
PI408187,1
PI408189,1
PI408209C,1
PI408212B,1
PI408221B,1
PI408222B,1
PI408222C,1
PI408229C,1
PI408231,1
PI408259A,1
PI408265B,1
PI408302,1
PI408307C,1
PI408309,1
PI408311-1,1
PI423811,1
PI424140,1
PI424149,1
PI424150,1
PI424151,1
PI424154B,1
PI424156A,1
PI424164A,1
PI424165,1
PI424167,1
PI424171A,1
PI424171B,1
PI424172A,1
PI424175,1
PI424179A,1
PI424181,1
PI424188A,1
PI424188B,1
PI424238,1
PI424254,1
PI424257B,1
PI424293,1
PI424294A,1
PI424294B,1
PI424298,1
PI424499B,1
PI424499C,1
PI424499D,1
PI424503,1
PI424506,1
PI424509,1
PI424517B,1
PI424518,1
PI424521A,1
PI424522,1
PI424529,1
PI424530,1
PI424531,1
PI424532,1
PI424536,1
PI424539,1
PI424542,1
PI424544,1
PI424545,1
PI424546B,1
PI424547,1
PI424552,1
PI424554,1
PI424555A,1
PI424555B,1
PI424556,1
PI424557,1
PI424558A,1
PI424559,1
PI424561,1
PI424566,1
PI424567,1
PI424571,1
PI424579,1
PI424581,1
PI424582,1
PI424583,1
PI424584,1
PI424588,1
PI424590A,1
PI424590B,1
PI424592,1
PI424599,1
PI424607,1
PI424608B,1
PI424613,1
PI424617,1
PI424159B,1
PI398273,1
PI407981A,1
PI408050B,1
PI408089,1
PI424024,1
PI424143,1
PI424152,1
PI424154A,1
PI424158,1
PI424159C,1
PI424160,1
PI424292,1
PI424499A,1
PI424504A,1
PI424504B,1
PI424511,1
PI424512,1
PI424513,1
PI424517A,1
PI424519,1
PI424528,1
PI424533,1
PI424535B,1
PI424546A,1
PI424548,1
PI424549A,1
PI424549B,1
PI424569B,1
PI424575,1
PI424597,1
PI424600,1
PI424604,1
PI424608A,1
PI424611A,1
PI424611B,1
PI424614,1
PI273483F,1
PI424488A,1
PI423814B,1
PI423826A,1
PI424353,1
PI424368A,1
PI424373,1
PI424422,1
PI398993,1
PI398493,1
PI423815,1
PI424275,1
PI423731,1
PI423752B,1
PI423753B,1
PI423769B,1
PI423839,1
PI424214B,1
PI424223,1
PI424251A,1
PI424268,1
PI424278A,1
PI424279,1
PI424300A,1
PI424302,1
PI424307,1
PI424321,1
PI424322,1
PI424324A,1
PI424329,1
PI424332,1
PI424403,1
PI424406B,1
PI424436,1
PI424466,1
PI424484B,1
PI424491A,1
PI424493A,1
PI398270,1
PI398417,1
PI398429,1
PI398503,1
PI398634,1
PI398873,1
PI398877,1
PI399106,1
PI399112,1
PI423843,1
PI424374,1
PI424431,1
PI424460,1
PI424494,1
PI398499,1
PI424343,1
PI424481B,1
PI424565,1
PI423826C,1
PI423830A,1
PI423845A,1
PI424221A,1
PI424224,1
PI424229A,1
PI424229B,1
PI424249B,1
PI424259,1
PI424277A,1
PI424339,1
PI424346,1
PI424349A,1
PI424350,1
PI424351,1
PI424368B,1
PI424381,1
PI424388,1
PI424419,1
PI424435,1
PI424476,1
PI424483,1
PI424486,1
PI424487A,1
PI398224,1
PI398228,1
PI398320,1
PI398406,1
PI398728,1
PI398739,1
PI398939,1
PI290126B,1
PI297544,1
PI398831,1
PI398859,1
PI398980,1
PI398989,1
PI398992,1
PI399068,1
PI407849,1
PI407974A,1
PI408005,1
PI423838,1
PI424319,1
PI273483A,1
PI291302B,1
PI297504,1
PI297537,1
PI339977,1
PI339991,1
PI339993,1
PI340007,1
PI340018,1
PI340033,1
PI340052,1
PI361053,1
PI372415A,1
PI398504,1
PI398505,1
PI398514,1
PI398600,1
PI398620,1
PI398624,1
PI398625,1
PI398638,1
PI398639,1
PI398686,1
PI398712,1
PI398727,1
PI398749,1
PI398751,1
PI398821,1
PI398822,1
PI398885,1
PI398898,1
PI398908,1
PI398954,1
PI398957,1
PI404180,1
PI404187,1
PI404196A,1
PI407655C,1
PI407656,1
PI407706B,1
PI407711B,1
PI407746,1
PI407810,1
PI407925,1
PI408019A,1
PI408052B,1
PI408128,1
PI408130,1
PI408135A,1
PI408270A,1
PI408315A,1
PI408315B,1
PI416936,1
PI417040B,1
PI423730B,1
PI423744,1
PI423769A,1
PI423776,1
PI423798A,1
PI423829,1
PI424192A,1
PI424192B,1
PI424249A,1
PI424261,1
PI424356,1
PI424359,1
PI424408,1
PI424423,1
PI424425,1
PI424463,1
PI424563,1
PI274210,1
PI339865B,1
PI339987,1
PI339997,1
PI340039,1
PI340040,1
PI340054,1
PI398197,1
PI398211,1
PI398221,1
PI398236,1
PI398257,1
PI398289,1
PI398327,1
PI398342,1
PI398379,1
PI398392,1
PI398408,1
PI398412,1
PI398425,1
PI398426,1
PI398430,1
PI398439,1
PI398441,1
PI398443,1
PI398450,1
PI398489,1
PI398501,1
PI398523,1
PI398529,1
PI398558,1
PI398588,1
PI398644,1
PI398705,1
PI398716,1
PI398738,1
PI398743,1
PI398753,1
PI398758,1
PI398759,1
PI398768,1
PI398801,1
PI398802,1
PI398838,1
PI399046,1
PI399070,1
PI406709,1
PI407860,1
PI407902B,1
PI407972C,1
PI408006,1
PI408013,1
PI408032A,1
PI408033,1
PI408039,1
PI408069,1
PI408070B,1
PI408071,1
PI408083A,1
PI408084B,1
PI408109A,1
PI408116,1
PI408126B,1
PI408133,1
PI408137B,1
PI408166A,1
PI408171,1
PI408174,1
PI408197B,1
PI408203A,1
PI408209B,1
PI408217B,1
PI408228B,1
PI408229A,1
