acid,Fe32perc,
FC003659,0.118,8
FC003981,0.024,8
FC030267,0.019,8
FC030282,0.009,8
FC030967,0.015,8
FC031416,0.153,8
FC031622,0.126,8
FC031649,0.1,8
FC031665,0.031,8
FC031676,0.146,8
FC031677,0.139,8
FC031689,0.02,8
FC031700,0.08,8
FC031707,0.106,8
FC031709,0.03,8
FC031732,0.109,8
FC031737,0.086,8
FC031744,0.017,8
FC031745,0.017,8
FC031750,0.177,8
FC031921,0.127,8
FC031927,0.026,8
FC031933,0.165,8
FC031935,0.166,8
FC031943,0.022,8
FC032175,0.032,8
FC033123,0.132,8
PI036906,0.03,8
PI054610,0.155,8
PI071558,0.145,8
PI071564,0.124,8
PI071570,0.129,8
PI079825,0.094,8
PI079861,0.087,8
PI079862,0.091,8
PI080468,0.038,8
PI080476,0.064,8
PI081029,0.052,8
PI081037,0.041,8
PI082312,0.026,8
PI084642,0.176,8
PI084967,0.014,8
PI085010,0.136,8
PI085416,0.021,8
PI085465,0.123,8
PI085476,0.023,8
PI085490,0.015,8
PI086091,0.152,8
PI086109,0.097,8
PI086490,0.104,8
PI086904,0.096,8
PI087002,0.086,8
PI087565,0.026,8
PI087968,0.103,8
PI088461,0.115,8
PI089469,0.018,8
PI089775,0.086,8
PI090406,0.115,8
PI090495,0.007,8
PI090499,0.016,8
PI090577,0.109,8
PI090768,0.088,8
PI092567,0.098,8
PI092601,0.007,8
PI094159,0.094,8
PI095860,0.023,8
PI095960,0.09,8
PI095969,0.084,8
PI096035,0.008,8
PI096257,0.099,8
PI096354,0.011,8
PI097094,0.131,8
PI097100,0.008,8
PI097150,0.011,8
PI097161,0.084,8
PI123439,0.111,8
PI145079,0.007,8
PI148260,0.106,8
PI153681,0.099,8
PI153682,0.009,8
PI157475,0.128,8
PI157476,0.012,8
PI157488,0.01,8
PI159093,0.009,8
PI159094,0.108,8
PI159095,0.012,8
PI159096,0.021,8
PI159097,0.094,8
PI159321,0.011,8
PI159322,0.019,8
PI165563,0.1,8
PI165578,0.022,8
PI165671,0.005,8
PI165672,0.017,8
PI165673,0,8
PI165675,0.113,8
PI165676,0,8
PI165896,0.024,8
PI165914,0.118,8
PI165926,0.111,8
PI165929,0.134,8
PI165943,0.018,8
PI165947,0.102,8
PI165989,0.116,8
PI166028,0.121,8
PI166032,0.111,8
PI166048,0.134,8
PI166105,0.19,8
PI166140,0.009,8
PI166141,0.005,8
PI166147,0.114,8
PI170886,0.115,8
PI170887,0.024,8
PI170888,0.113,8
PI170889,0.109,8
PI170890,0.056,8
PI170891,0.123,8
PI170892,0.005,8
PI171436,0.15,8
PI171437,0.129,8
PI171438,0.014,8
PI171439,0,8
PI171440,0.008,8
PI171443,0.01,8
PI171444,0.004,8
PI171445,0.129,8
PI171446,0.125,8
PI171451,0.012,8
PI174853,0.102,8
PI174855,0.091,8
PI174856,0.008,8
PI174857,0.121,8
PI174858,0.023,8
PI174862,0.177,8
PI174863,0.101,8
PI174866,0.009,8
PI174868,0.021,8
PI175174,0.116,8
PI175180,0.097,8
PI175181,0,8
PI175182,0.116,8
PI175183,0.088,8
PI175185,0.14,8
PI175186,0.124,8
PI175187,0.148,8
PI175188,0.117,8
PI175189,0.104,8
PI175191,0.113,8
PI175192,0.02,8
PI175193,0.013,8
PI175194,0.095,8
PI175195,0.15,8
PI175196,0.131,8
PI175197,0.088,8
PI175198,0.093,8
PI175199,0.121,8
PI179935,0.015,8
PI180051,0.086,8
PI181556,0.03,8
PI181559,0.129,8
PI181560,0.005,8
PI181561,0.004,8
PI181564,0.01,8
PI181565,0,8
PI181566,0.103,8
PI181567,0.003,8
PI181568,0,8
PI181569,0.008,8
PI183929,0.019,8
PI183930,0.007,8
PI187154,0.01,8
PI187156,0.021,8
PI189402,0.118,8
PI192867,0.116,8
PI192868,0.008,8
PI192869,0.106,8
PI192870,0.121,8
PI192871,0.171,8
PI192872,0.012,8
PI192873,0.145,8
PI192874,0.095,8
PI198078,0.127,8
PI200445,0.01,8
PI200446,0.115,8
PI200448,0.021,8
PI200449,0.017,8
PI200451,0.008,8
PI200452,0.107,8
PI200454,0.11,8
PI200455,0.068,8
PI200456,0.121,8
PI200459,0.084,8
PI200461,0.021,8
PI200462,0.003,8
PI200464,0.009,8
PI200465,0.014,8
PI200466,0.011,8
PI200469,0.117,8
PI200474,0.015,8
PI200475,0.104,8
PI200476,0.012,8
PI200477,0.113,8
PI200483,0.079,8
PI200484,0.006,8
PI200490,0.097,8
PI200491,0.012,8
PI200492,0.12,8
PI200493,0.106,8
PI200494,0.009,8
PI200497,0.104,8
PI200498,0.011,8
PI200500,0.096,8
PI200502,0.026,8
PI200505,0.119,8
PI200507,0.011,8
PI200509,0.007,8
PI200516,0.062,8
PI200523,0.11,8
PI200524,0.117,8
PI200525,0.088,8
PI200527,0.076,8
PI200528,0.003,8
PI200529,0.002,8
PI200530,0.034,8
PI200531,0.011,8
PI200532,0.008,8
PI200538,0.019,8
PI200539,0.009,8
PI200542,0.078,8
PI200543,0.002,8
PI200544,0,8
PI200547,0.013,8
PI200549,0.021,8
PI200553,0.008,8
PI201421,0.01,8
PI201422,0.107,8
PI201423,0.05,8
PI201428,0.084,8
PI201431,0.086,8
PI203404,0.044,8
PI205083,0.091,8
PI205384,0.011,8
PI208431,0.108,8
PI208432,0.107,8
PI208433,0.102,8
PI208437,0.088,8
PI208438,0.031,8
PI208782,0.015,8
PI208783,0.106,8
PI208784,0.087,8
PI208785,0.099,8
PI208788,0.009,8
PI208789,0.013,8
PI209836,0.091,8
PI209908,0.036,8
PI210352,0.009,8
PI210353,0.008,8
PI212604,0.167,8
PI212605,0.106,8
PI212606,0.197,8
PI212716,0.109,8
PI215693,0.097,8
PI215811,0.105,8
PI219652,0.067,8
PI219655,0.087,8
PI219656,0.124,8
PI219698,0.122,8
PI219732,0.008,8
PI221713,0.096,8
PI221714,0.074,8
PI221715,0.019,8
PI221717,0.091,8
PI221972,0.097,8
PI222397,0.009,8
PI222546,0.003,8
PI224269,0.096,8
PI224270,0.026,8
PI224273,0.087,8
PI227214,0.103,8
PI227219,0.008,8
PI227221,0.009,8
PI227222,0.02,8
PI227224,0.004,8
PI228065,0.095,8
PI229320,0.092,8
PI229321,0.088,8
PI229358,0.071,8
PI230970,0.025,8
PI230971,0.004,8
PI230972,0,8
PI230973,0.108,8
PI230974,0.098,8
PI230975,0.013,8
PI230976,0.103,8
PI230977,0.018,8
PI230978,0.046,8
PI230979,0.1,8
PI230980,0.014,8
PI230981,0.09,8
PI241424,0.082,8
PI243526,0,8
PI248510,0.025,8
PI253662,0.116,8
PI253664,0.101,8
PI255734,0.107,8
PI256376,0.123,8
PI279081,0.092,8
PI281885,0.014,8
PI281889,0.099,8
PI281904,0.012,8
PI283327,0.099,8
PI284815,0.018,8
PI285092,0.031,8
PI285093,0.005,8
PI303653,0.061,8
PI304217,0.133,8
PI312222,0.018,8
PI315701,0.024,8
PI319526,0.114,8
PI319529,0.049,8
PI319530,0.02,8
PI319531,0.022,8
PI322689,0.122,8
PI322690,0.145,8
PI323275,0.068,8
PI323276,0.101,8
PI323550,0.115,8
PI323554,0.092,8
PI323557,0.054,8
PI323558,0.169,8
PI323560,0.102,8
PI323565,0.096,8
PI323569,0.05,8
PI323572,0.144,8
PI323573,0.122,8
PI323574,0.124,8
PI324066,0.113,8
PI324067,0.214,8
PI324189,0.007,8
PI324190,0.092,8
PI330633,0.099,8
PI330634,0.008,8
PI330635,0.008,8
PI340050,0.012,8
PI341264,0.013,8
PI346298,0.024,8
PI346300,0.081,8
PI346301,0.094,8
PI346302,0.011,8
PI346305,0.103,8
PI360839,0.037,8
PI360851,0.02,8
PI365426,0.111,8
