acid,NSC.491493,
FC003659,1,8
FC003981,2,8
FC030265,1,8
FC030267,1,8
FC030282,1,8
FC030967,1,8
FC031416,1,8
FC031572,1,8
FC031622,1,8
FC031649,1,8
FC031665,1,8
FC031676,1,8
FC031677,1,8
FC031683,1,8
FC031689,1,8
FC031700,1,8
FC031707,1,8
FC031709,1,8
FC031719,2,8
FC031721,1,8
FC031731,2,8
FC031732,1,8
FC031737,1,8
FC031744,1,8
FC031745,1,8
FC031750,2,8
FC031918,4,8
FC031919,2,8
FC031921,2,8
FC031927,2,8
FC031933,1,8
FC031934,1,8
FC031935,1,8
FC031943,1,8
FC031952,4,8
FC032175,1,8
FC032176,2,8
FC033123,1,8
PI036906,1,8
PI054610,1,8
PI055089,2,8
PI059845,4,8
PI060269,4,8
PI060273,4,8
PI060296,4,8
PI062203,4,8
PI062204,1,8
PI065342,2,8
PI071465,4,8
PI071558,1,8
PI071564,1,8
PI071570,1,8
PI071667,2,8
PI071677,2,8
PI079825,1,8
PI079832,2,8
PI079861,1,8
PI079862,2,8
PI080466,5,8
PI080468,1,8
PI080476,1,8
PI080498,4,8
PI081029,1,8
PI081037,5,8
PI081042,4,8
PI081774,4,8
PI082286,2,8
PI082312,1,8
PI082588,2,8
PI083836,4,8
PI083874,4,8
PI083942,2,8
PI084642,2,8
PI084669,4,8
PI084734,1,8
PI084874,2,8
PI084910,1,8
PI084949,4,8
PI084967,5,8
PI085010,5,8
PI085089,1,8
PI085252,4,8
PI085342,2,8
PI085416,5,8
PI085465,1,8
PI085476,1,8
PI085490,1,8
PI086078,1,8
PI086084,4,8
PI086091,1,8
PI086109,5,8
PI086465,1,8
PI086490,1,8
PI086543,4,8
PI086892,4,8
PI086904,1,8
PI086982,1,8
PI087002,1,8
PI087037,1,8
PI087076,2,8
PI087542,1,8
PI087565,1,8
PI087968,1,8
PI088461,1,8
PI088490,1,8
PI088820,1,8
PI089061,2,8
PI089469,1,8
PI089775,1,8
PI090243,2,8
PI090251,1,8
PI090406,1,8
PI090481,1,8
PI090495,1,8
PI090499,1,8
PI090577,1,8
PI090768,1,8
PI091100,2,8
PI091646,4,8
PI091725,1,8
PI092567,5,8
PI092601,5,8
PI092707,5,8
PI092743,4,8
PI094159,1,8
PI095780,5,8
PI095860,1,8
PI095959,2,8
PI095960,1,8
PI095969,1,8
PI096035,1,8
PI096089,1,8
PI096169,1,8
PI096257,1,8
PI096354,1,8
PI096786,1,8
PI096983,2,8
PI097066,1,8
PI097081,4,8
PI097100,5,8
PI097150,2,8
PI097161,1,8
PI103079,1,8
PI123439,2,8
PI123440,1,8
PI123587,2,8
PI123590,1,8
PI145079,1,8
PI148260,1,8
PI153681,1,8
PI153682,1,8
PI157394,1,8
PI157406,2,8
PI157413,5,8
PI157422,1,8
PI157430,1,8
PI157432,2,8
PI157440,2,8
PI157443,2,8
PI157444,2,8
PI157451,1,8
PI157469,1,8
PI157470,4,8
PI157473,2,8
PI157475,1,8
PI157476,1,8
PI157478,5,8
PI157484,2,8
PI157488,1,8
PI157493,3,8
PI158751,2,8
PI159093,2,8
PI159094,1,8
PI159095,1,8
PI159096,5,8
PI159097,1,8
PI159319,5,8
PI159321,1,8
PI159322,2,8
PI159924,1,8
PI159925,1,8
PI159926,1,8
PI159927,1,8
PI163308,1,8
PI165524,1,8
PI165563,1,8
PI165578,1,8
PI165583,1,8
PI165671,1,8
PI165672,1,8
PI165673,1,8
PI165675,1,8
PI165676,1,8
PI165896,1,8
PI165914,1,8
PI165926,1,8
PI165929,1,8
PI165943,1,8
PI165947,1,8
PI165989,1,8
PI166028,1,8
PI166032,4,8
PI166048,1,8
PI166105,1,8
PI166140,1,8
PI166141,1,8
PI166147,1,8
PI166438,5,8
PI170886,5,8
PI170887,5,8
PI170888,1,8
PI170889,5,8
PI170890,5,8
PI170891,5,8
PI170893,4,8
PI170895,5,8
PI170896,1,8
PI170899,4,8
PI171430,1,8
PI171436,1,8
PI171437,1,8
PI171438,1,8
PI171439,1,8
PI171440,1,8
PI171441,5,8
PI171442,3,8
PI171443,1,8
PI171444,1,8
PI171445,1,8
PI171446,1,8
PI171451,1,8
PI172902,1,8
PI174853,1,8
PI174855,1,8
PI174856,1,8
PI174858,1,8
PI174862,1,8
PI174863,1,8
PI174866,1,8
PI174868,1,8
PI175174,1,8
PI175178,1,8
PI175180,1,8
PI175184,1,8
PI175185,1,8
PI175186,1,8
PI175187,1,8
PI175188,1,8
PI175189,1,8
PI175192,1,8
PI175193,1,8
PI175194,2,8
PI175195,1,8
PI175196,1,8
PI175197,5,8
PI175198,1,8
PI175199,2,8
PI179823,1,8
PI179825,1,8
PI179935,1,8
PI180051,1,8
PI181543,1,8
PI181544,1,8
PI181545,2,8
PI181546,2,8
PI181547,3,8
PI181556,5,8
PI181558,3,8
PI181560,1,8
PI181562,5,8
PI181564,5,8
PI181565,1,8
PI181567,1,8
PI181568,5,8
PI181569,1,8
PI181696,2,8
PI181697,2,8
PI183930,1,8
