acid,PRR25
PI594430B,1
PI594397A,1
PI594660D,1
PI594736,1
PI594414B,1
PI594567A,1
PI594831,1
PI594832B,1
PI594416,1
PI594426A,1
PI594438,1
PI594455B,1
PI594463A,1
PI594564,1
PI594857,1
PI594889,1
PI594689,1
PI594779,1
PI594633,1
PI594639,1
PI594397B,1
PI594426B,1
PI594440,1
PI594481,1
PI594555B,1
PI594780,1
PI594394,1
PI594401A,1
PI594401B,1
PI594401D,1
PI594405,1
PI594392,1
PI594400,1
PI594401E,1
PI594406,1
PI594410,1
PI594414A,1
PI594415A,1
PI594419,1
PI594422,1
PI594423,1
PI594425,1
PI594427A,1
PI594430A,1
PI594430D,1
PI594431,1
PI594432,1
PI594433B,1
PI594434,1
PI594456B,1
PI594462,1
PI594471A,1
PI594473,1
PI594475A,1
PI594478,1
PI594480A,1
PI594480B,1
PI594482,1
PI594483,1
PI594500A,1
PI594500C,1
PI594549A,1
PI594550,1
PI594555A,1
PI594567B,1
PI594567C,1
PI594567D,1
PI594577,1
PI594578,1
PI594579,1
PI594582,1
PI594583,1
PI594585,1
PI594587,1
PI594588,1
PI594589,1
PI594590,1
PI594592,1
PI594629,1
PI594636,1
PI594645,1
PI594646,1
PI594648B,1
PI594650B,1
PI594666A,1
PI594666B,1
PI594681,1
PI594686,1
PI594690A,1
PI594690B,1
PI594694,1
PI594708A,1
PI594709,1
PI594710,1
PI594717A,1
PI594758B,1
PI594776,1
PI594784B,1
PI594797,1
PI594799B,1
PI594802B,1
PI594803B,1
PI594804,1
PI594807B,1
PI594816,1
PI594823,1
PI594836,1
PI594867,1
PI594872,1
PI594873,1
PI594883,1
PI594411,1
PI594417,1
PI594421,1
PI594651,1
PI594770B,1
PI594792A,1
PI594433C,1
PI594398B,1
PI594439A,1
PI594399A,1
PI594404,1
PI594407,1
PI594398A,1
PI594399C,1
PI594412,1
PI594548,1
PI594558,1
PI594637,1
PI594702,1
PI594829,1
PI594403,1
PI594413,1
PI587557B,1
PI587565A,1
PI587565C,1
PI587600C,1
PI587612C,1
PI587550A,1
PI587852,1
PI587595C,1
PI587570A,1
PI587572B,1
PI587814C,1
PI588021B,1
PI587814F,1
PI588033C,1
PI587814G,1
PI587563C,1
PI587596A,1
PI587601A,1
PI587814D,1
PI587814E,1
PI587842,1
PI587890A,1
PI587891B,1
PI588033A,1
PI588033B,1
PI587599,1
PI587583D,1
PI587878,1
PI587808A,1
PI587612A,1
PI587567C,1
PI588017C,1
PI588023A,1
PI588017B,1
PI587850,1
PI587716B,1
PI587967,1
PI587992A,1
PI587826,1
PI587550C,1
PI587596C,1
PI587706,1
PI587751,1
PI587839C,1
PI587874,1
PI587875,1
PI587973A,1
PI588032D,1
PI588021A,1
PI587839A,1
PI587839B,1
PI588032C,1
PI587837,1
PI587836,1
PI273483D,1
PI378682B,1
PI360845,1
PI340035,1
PI340046,1
PI273483C,1
PI340037,1
PI361103,1
PI304218,1
PI274212,1
PI339864A,1
PI339868D,1
PI360841,1
PI587987A,1
PI587555A,1
PI587711,1
PI587775,1
PI587589,1
PI587583B,1
PI587601C,1
PI587598A,1
PI587577G,1
PI587808B,1
PI587577D,1
PI587595B,1
PI587872,1
PI587558B,1
PI587575C,1
PI587585D,1
PI587757A,1
PI587882,1
PI588024B,1
PI587577E,1
PI587565B,1
PI587811A,1
PI587881,1
PI587577F,1
PI587753B,1
PI587753A,1
PI587601D,1
PI291327,1
PI360846,1
PI339995,1
PI340049,1
