acid,PRR3,
FC003659,1,8
FC019976,1,8
FC031630,1,8
FC031719,1,8
FC031721,1,8
FC031933,1,8
FC031934,1,8
FC032175,1,8
PI054600,1,8
PI054604,1,8
PI054862,1,8
PI058955,1,8
PI059849,1,8
PI060273,1,8
PI062202,1,8
PI062204,1,8
PI064747,1,8
PI065342,1,8
PI068522,1,8
PI068535,1,8
PI068765,1,8
PI070188,1,8
PI070208,1,8
PI079862,1,8
PI080471,1,8
PI080488,5,8
PI080825,5,8
PI080841,1,8
PI081035,1,8
PI081037,1,8
PI081764,1,8
PI081777,1,8
PI082210,1,8
PI082232,1,8
PI082235,1,8
PI082286,1,8
PI082291,1,8
PI082295,1,8
PI082302,1,8
PI082315,1,8
PI082325,1,8
PI082527,1,8
PI082534,1,8
PI082544,1,8
PI083853,1,8
PI083874,1,8
PI083892,1,8
PI084509,1,8
PI084619,1,8
PI084637,1,8
PI084646,1,8
PI084669,1,8
PI084939,1,8
PI084959,1,8
PI085089,1,8
PI085342,1,8
PI085437,1,8
PI085469,1,8
PI085505,1,8
PI085624,1,8
PI085626,1,8
PI086022,5,8
PI086028,1,8
PI086050,1,8
PI086063,1,8
PI086071,1,8
PI086103,1,8
PI086109,1,8
PI086111,1,8
PI086116,1,8
PI086122,1,8
PI086150,1,8
PI086410,5,8
PI086425,1,8
PI086452,1,8
PI086740,1,8
PI086876,1,8
PI087005,1,8
PI087047,1,8
PI087074,1,8
PI087561,5,8
PI087571,1,8
PI087617,1,8
PI087619,1,8
PI087629,1,8
PI087630,1,8
PI087968,1,8
PI088444,1,8
PI088811,1,8
PI088815,1,8
PI088816,1,8
PI088826,1,8
PI089150,1,8
PI089769,1,8
PI090138,1,8
PI090208,1,8
PI090233,1,8
PI090241,1,8
PI090249,1,8
PI090305,1,8
PI091113,1,8
PI091162,1,8
PI091165,1,8
PI091178,1,8
PI091340,1,8
PI091679,1,8
PI092465,1,8
PI092560,1,8
PI092639,1,8
PI092651,1,8
PI092743,1,8
PI094159,1,8
PI095769,1,8
PI096035,1,8
PI096093,1,8
PI096257,1,8
PI096783,1,8
PI096808,1,8
PI096978,1,8
PI096983,1,8
PI097066,1,8
PI097081,1,8
PI097225,1,8
PI103080,1,8
PI103088,1,8
PI103091,1,8
PI131531,1,8
PI145079,1,8
PI153244,5,8
PI153250,1,8
PI153253,1,8
PI153264,5,8
PI153279,1,8
PI153282,1,8
PI153283,1,8
PI153288,5,8
PI153308,1,8
PI157394,1,8
PI157401,1,8
PI157402,1,8
PI157404,1,8
PI157409,1,8
PI157410,1,8
PI157417,1,8
PI157430,1,8
PI157431,1,8
PI157432,1,8
PI157440,1,8
PI157449,1,8
PI157459,5,8
PI157462,1,8
PI157472,1,8
PI157478,1,8
PI157484,1,8
PI157485,1,8
PI157492,1,8
PI158751,1,8
PI159096,1,8
PI165671,1,8
PI171442,1,8
PI171450,1,8
PI172901,1,8
PI172902,1,8
PI181536,1,8
PI181539,1,8
PI181543,1,8
PI181545,1,8
PI181549,1,8
PI181551,1,8
PI181553,1,8
PI181554,1,8
PI181556,1,8
PI181559,1,8
PI181562,1,8
PI187156,1,8
PI189946,1,8
PI196150,1,8
PI196152,1,8
PI196155,1,8
PI196156,1,8
PI196157,1,8
PI196159,5,8
PI196160,1,8
PI196166,1,8
PI196175,1,8
PI196177,1,8
PI200445,1,8
PI200446,1,8
PI200449,1,8
PI200450,1,8
PI200457,5,8
PI200464,1,8
PI200469,1,8
PI200472,1,8
PI200474,1,8
PI200475,1,8
PI200478,5,8
PI200483,1,8
PI200491,1,8
PI200496,1,8
PI200499,1,8
PI200502,1,8
PI200503,1,8
PI200505,1,8
PI200506,1,8
PI200507,1,8
PI200508,1,8
PI200509,1,8
PI200510,1,8
PI200517,1,8
PI200518,1,8
PI200522,1,8
PI200523,1,8
PI200524,1,8
PI200528,1,8
PI200541,1,8
PI200543,1,8
PI200545,1,8
PI200546,1,8
PI200553,1,8
PI205088,1,8
PI210179,1,8
PI219780,1,8
PI219783,1,8
PI219785,1,8
PI221973,1,8
PI224271,1,8
PI224272,1,8
PI226591,1,8
PI227214,1,8
PI227219,1,8
PI227221,1,8
PI227555,1,8
PI227558,1,8
PI227685,1,8
PI228065,1,8
PI229315,1,8
PI229327,5,8
PI229342,1,8
PI229343,1,8
PI229350,1,8
PI229352,1,8
PI229353,1,8
PI229359,5,8
PI229361,5,8
PI229362,1,8
PI230970,1,8
PI230971,1,8
PI230974,1,8
PI230975,1,8
PI230976,1,8
PI230979,1,8
PI230981,1,8
PI238929,1,8
PI238932,1,8
PI243514,1,8
PI243520,1,8
PI243522,5,8
PI243523,1,8
PI243524,1,8
PI243525,5,8
PI243529,1,8
PI243530,1,8
PI243531,1,8
PI243532,1,8
PI243533,1,8
PI243535,1,8
PI243541,1,8
PI243544,1,8
PI243545,1,8
PI243548,1,8
PI243549,1,8
PI246366,1,8
PI246367,1,8
PI246369,1,8
PI248410,1,8
PI253654,1,8
PI261466,1,8
PI261467,1,8
PI261468,1,8
PI262181,1,8
PI274209,1,8
PI274212,1,8
PI274420,1,8
PI274421,1,8
PI274423,1,8
PI274455,1,8
PI274456,1,8
PI274508,1,8
PI281850,1,8
PI283327,1,8
PI290120,5,8
PI290148,1,8
PI290151,1,8
PI291275,5,8
PI291277,5,8
PI291278,5,8
PI291327,1,8
PI291331,1,8
PI295947,5,8
PI297502,1,8
PI297536,5,8
PI297545,5,8
PI297552,1,8
PI304218,1,8
PI317337,5,8
PI319529,1,8
PI319530,1,8
PI319531,1,8
PI326579,5,8
PI339981,1,8
PI339995,1,8
PI340029,1,8
PI340034,1,8
PI340035,1,8
PI340037,1,8
PI340046,1,8
PI340049,1,8
PI340051,1,8
PI341264,1,8
PI342004,1,8
PI342005,5,8
PI342436,1,8
PI347541,5,8
PI347551,1,8
PI358319,1,8
PI358322,5,8
PI358323,5,8
PI360836,1,8
PI360838,5,8
PI360841,1,8
PI360842,1,8
PI360844,1,8
PI360845,1,8
PI360846,1,8
PI360848,1,8
PI360850,5,8
PI360952,5,8
PI360953,1,8
PI360959,1,8
PI360965,1,8
PI361103,1,8
PI361116,5,8
PI361121,1,8
PI377574,5,8
PI378668,1,8
PI378679,1,8
PI379560,1,8
PI379563,1,8
PI383276,5,8
PI383277,5,8
PI383278,5,8
PI384467,1,8
PI391584,5,8
PI393535,5,8
PI393537,1,8
PI393538,1,8
PI398191,1,8
PI398198,1,8
PI398204,1,8
PI398206,1,8
PI398214,1,8
PI398223,1,8
PI398224,5,8
PI398225,1,8
PI398227,1,8
PI398228,1,8
PI398230,1,8
PI398242,1,8
PI398243,1,8
PI398244,1,8
PI398245,1,8
PI398248,1,8
PI398249,1,8
PI398250,1,8
PI398251,1,8
PI398252,1,8
PI398261,1,8
PI398270,1,8
PI398272,1,8
PI398275,1,8
PI398276,1,8
PI398281,1,8
PI398295,1,8
PI398297,1,8
PI398298,1,8
PI398299,1,8
PI398305,1,8
PI398306,1,8
PI398311,1,8
PI398312,1,8
PI398317,1,8
PI398320,5,8
PI398321,1,8
PI398356,5,8
PI398359,1,8
PI398371,1,8
PI398375,1,8
PI398386,1,8
PI398389,1,8
PI398395,1,8
PI398406,1,8
PI398417,1,8
PI398429,5,8
PI398440,1,8
PI398451,1,8
PI398493,1,8
PI398494,1,8
PI398495,1,8
PI398499,5,8
PI398503,1,8
PI398565,1,8
PI398572,1,8
PI398609,1,8
PI398621,1,8
PI398631,1,8
PI398634,1,8
PI398636,1,8
PI398640,1,8
PI398643,1,8
PI398656,1,8
PI398664,1,8
PI398666,1,8
PI398674,1,8
PI398680,1,8
PI398682,1,8
PI398693,1,8
PI398694,1,8
PI398697,1,8
PI398702,1,8
PI398706,1,8
PI398728,1,8
PI398737,1,8
PI398739,1,8
PI398741,1,8
PI398747,1,8
PI398748,1,8
PI398752,1,8
PI398755,1,8
PI398763,1,8
PI398764,1,8
PI398765,1,8
PI398772,1,8
PI398773,1,8
PI398774,1,8
PI398775,1,8
PI398790,1,8
PI398791,1,8
PI398830,1,8
PI398841,1,8
PI398843,1,8
PI398847,1,8
PI398857,1,8
PI398867,1,8
PI398868,1,8
PI398873,1,8
PI398877,1,8
PI398878,1,8
PI398880,1,8
PI398884,1,8
PI398887,1,8
PI398935,1,8
PI398939,1,8
PI398940,1,8
PI398941,1,8
PI398944,1,8
PI398946,1,8
PI398953,1,8
PI398955,1,8
PI398959,1,8
PI398970,1,8
PI398982,1,8
PI398985,1,8
PI398988,1,8
PI398993,1,8
PI398994,1,8
PI398996,1,8
PI399001,1,8
PI399004,1,8
PI399008,1,8
PI399015,1,8
PI399016,1,8
PI399017,1,8
PI399018,1,8
PI399019,1,8
PI399023,1,8
PI399027,1,8
PI399028,1,8
PI399031,1,8
PI399036,1,8
PI399051,1,8
PI399073,1,8
PI399074,1,8
PI399077,1,8
PI399079,1,8
PI399080,1,8
PI399092,1,8
PI399106,5,8
PI399112,1,8
PI399119,1,8
PI416930,1,8
PI417082,1,8
PI417095,1,8
PI417147,1,8
PI417162,1,8
PI417230,1,8
PI417476,5,8
PI417478,5,8
PI417565,1,8
PI423706,1,8
PI423707,1,8
PI423711,1,8
PI423718,1,8
PI423731,1,8
PI423734,1,8
PI423741,1,8
PI423784,1,8
PI423787,5,8
PI423788,1,8
PI423789,1,8
PI423790,1,8
PI423791,1,8
PI423792,1,8
PI423802,1,8
PI423815,5,8
PI423818,1,8
PI423836,1,8
PI423839,1,8
PI423842,1,8
PI423843,1,8
PI423848,1,8
PI423858,1,8
PI423870,1,8
PI423877,1,8
PI423881,1,8
PI423885,1,8
PI423893,1,8
PI423896,1,8
PI423902,1,8
PI423910,1,8
PI423932,1,8
PI423933,1,8
PI423939,1,8
PI423941,1,8
PI423943,5,8
PI423946,1,8
PI423949,1,8
PI423951,1,8
PI423954,1,8
PI423955,5,8
PI423973,1,8
PI423974,1,8
PI423975,1,8
PI423977,1,8
PI423979,1,8
PI423983,1,8
PI424191,5,8
PI424209,5,8
PI424223,5,8
PI424224,1,8
PI424239,1,8
PI424241,5,8
PI424242,5,8
PI424244,1,8
PI424259,1,8
PI424264,1,8
PI424268,1,8
PI424275,1,8
PI424276,1,8
PI424279,1,8
PI424302,1,8
PI424305,1,8
PI424312,1,8
PI424316,1,8
PI424317,1,8
PI424320,1,8
PI424321,1,8
PI424329,1,8
PI424332,1,8
PI424339,1,8
PI424343,5,8
PI424344,1,8
PI424345,1,8
PI424346,1,8
PI424350,1,8
PI424351,1,8
PI424352,1,8
PI424353,1,8
PI424354,1,8
PI424355,1,8
PI424358,1,8
PI424367,1,8
PI424373,1,8
PI424374,1,8
PI424381,1,8
PI424388,1,8
PI424389,1,8
PI424396,1,8
PI424397,1,8
PI424400,1,8
PI424403,1,8
PI424409,1,8
PI424412,1,8
PI424413,1,8
PI424414,1,8
PI424419,1,8
PI424430,1,8
PI424435,1,8
PI424436,1,8
PI424450,1,8
PI424452,1,8
PI424458,1,8
PI424460,1,8
PI424466,1,8
PI424468,1,8
PI424476,1,8
PI424477,1,8
PI424479,1,8
PI424483,1,8
PI424486,5,8
PI424490,5,8
PI424494,1,8
PI424495,1,8
PI424498,1,8
PI424565,1,8
PI518670,1,8
PI547677,5,8
PI547764,1,8
PI547791,1,8
PI547834,1,8
PI547838,1,8
PI547842,1,8
PI547862,1,8
PI547876,1,8
PI547890,1,8
PI548303,5,8
PI548304,5,8
PI548337,5,8
PI548342,1,8
PI548353,5,8
PI548359,1,8
PI548367,5,8
PI548391,5,8
PI548408,1,8
PI548419,1,8
PI548420,1,8
PI548430,5,8
PI548438,1,8
PI548467,1,8
PI548481,1,8
PI548504,1,8
PI548507,5,8
PI548508,5,8
PI548509,5,8
PI548510,5,8
PI548511,1,8
PI548513,1,8
PI548517,5,8
PI548518,5,8
PI548524,5,8
PI548527,5,8
PI548528,5,8
PI548535,5,8
PI548540,5,8
PI548543,5,8
PI548546,5,8
PI548547,5,8
PI548550,5,8
