acid,PRR7.491592
PI594430B,1
PI594397A,1
PI594660D,1
PI594736,1
PI594414B,1
PI594567A,1
PI594831,1
PI594832B,1
PI594416,1
PI594426A,1
PI594438,1
PI594455B,1
PI594463A,1
PI594564,1
PI594857,1
PI594889,1
PI594689,1
PI594779,1
PI594633,1
PI594639,1
PI594397B,1
PI594426B,1
PI594440,1
PI594481,1
PI594555B,1
PI594780,1
PI594394,1
PI594401A,1
PI594401B,1
PI594401D,1
PI594405,1
PI594392,1
PI594400,1
PI594401E,1
PI594406,1
PI594410,1
PI594414A,1
PI594415A,1
PI594419,1
PI594422,1
PI594423,1
PI594425,1
PI594427A,1
PI594430A,1
PI594430D,1
PI594431,1
PI594432,1
PI594433B,1
PI594434,1
PI594456B,1
PI594462,1
PI594471A,1
PI594473,1
PI594475A,1
PI594478,1
PI594480A,1
PI594480B,1
PI594482,1
PI594483,1
PI594500A,1
PI594500C,1
PI594549A,1
PI594550,1
PI594555A,1
PI594567B,1
PI594567C,1
PI594567D,1
PI594577,1
PI594578,1
PI594579,1
PI594582,1
PI594583,1
PI594585,1
PI594587,1
PI594588,1
PI594589,1
PI594590,1
PI594592,1
PI594629,1
PI594636,1
PI594645,1
PI594646,1
PI594648B,1
PI594650B,1
PI594666A,1
PI594666B,1
PI594681,1
PI594686,1
PI594690A,1
PI594690B,1
PI594694,1
PI594708A,1
PI594709,1
PI594710,1
PI594717A,1
PI594758B,1
PI594776,1
PI594784B,1
PI594797,1
PI594799B,1
PI594802B,1
PI594803B,1
PI594804,1
PI594807B,1
PI594816,1
PI594823,1
PI594836,1
PI594867,1
PI594872,1
PI594873,1
PI594883,1
PI594411,1
PI594417,1
PI594421,1
PI594651,1
PI594770B,1
PI594792A,1
PI594758A,1
PI594430E,1
PI594846,1
PI594485,1
PI594513,1
PI594599,1
PI594844,1
PI594618C,1
PI594490,1
PI594659C,1
PI594814,1
PI594475B,1
PI594662A,1
PI594878,1
PI594401C,1
PI594461A,1
PI594464,1
PI594477,1
PI594480C,1
PI594486A,1
PI594489,1
PI594493,1
PI594505A,1
PI594572A,1
PI594586B,1
PI594586C,1
PI594600,1
PI594605B,1
PI594607,1
PI594608B,1
PI594609,1
PI594610,1
PI594611,1
PI594625,1
PI594627A,1
PI594627B,1
PI594631B,1
PI594635C,1
PI594638A,1
PI594638B,1
PI594671,1
PI594672,1
PI594677,1
PI594678,1
PI594691,1
PI594759B,1
PI594759C,1
PI594759D,1
PI594778,1
PI594792B,1
PI594799A,1
PI594805B,1
PI594809A,1
PI594809B,1
PI594810A,1
PI594812,1
PI594833,1
PI594835B,1
PI594843,1
PI594853,1
PI594854,1
PI594860,1
PI594882B,1
PI594492A,1
PI594790C,1
PI594794B,1
PI594761,1
PI594561,1
PI594679,1
PI594740A,1
PI594796,1
PI594826A,1
PI594839A,1
PI594511B,1
PI594449,1
PI594471B,1
PI594491,1
PI594503,1
PI594562A,1
PI594616,1
PI594659A,1
PI594663,1
PI594664,1
PI594668,1
PI594708B,1
PI594738A,1
PI594802C,1
PI594805A,1
PI594818,1
PI594835A,1
PI594858A,1
PI594877,1
PI594448A,1
PI594456A,1
PI594468,1
PI594505B,1
PI594570A,1
PI594591A,1
PI594618B,1
PI594652B,1
PI594658,1
PI594738B,1
PI594751A,1
PI594753C,1
PI594784A,1
PI594819,1
PI594825,1
PI594492B,1
PI594450,1
PI594660A,1
PI594455A,1
PI594476,1
PI594661,1
PI594667,1
PI594615,1
