acid,PYU.11002,
FC001547,5,8
FC003609,5,8
FC019976,5,8
FC029219,5,8
FC030233,5,8
FC031122,5,8
FC031408,5,8
FC031409,5,8
FC004007A,5,9
PI030594,5,8
PI030599,5,8
PI030600,5,8
PI036653,5,8
PI047131,5,8
PI054604,5,8
PI054607,5,8
PI054608,5,8
PI054619,5,8
PI054809,5,8
PI054818,5,8
PI054834,5,8
PI054853,5,8
PI054854,5,8
PI054857,5,8
PI054859,5,8
PI054862,5,8
PI054865,5,8
PI054873,5,8
PI060279,5,8
PI063271,5,8
PI065338,5,8
PI065341,5,8
PI065346,5,8
PI065354,5,8
PI065388,5,8
PI068410,5,8
PI068421,5,8
PI068427,5,8
PI068430,5,8
PI068436,5,8
PI068439,5,8
PI068443,5,8
PI068446,5,8
PI068448,5,8
PI068454,5,8
PI068455,5,8
PI068457,5,8
PI068461,5,8
PI068465,5,8
PI068466,5,8
PI068474,5,8
PI068475,5,8
PI068480,5,8
PI068481,5,8
PI068488,5,8
PI068500,5,8
PI068503,5,8
PI068508,5,8
PI068516,5,8
PI068521,5,8
PI068522,5,8
PI068526,5,8
PI068530,5,8
PI068543,5,8
PI068554,5,8
PI068555,5,8
PI068562,5,8
PI068564,5,8
PI068572,5,8
PI068576,5,8
PI068585,5,8
PI068586,5,8
PI068587,5,8
PI068598,5,8
PI068600,5,8
PI068610,5,8
PI068622,5,8
PI068627,5,8
PI068629,5,8
PI068639,5,8
PI068642,5,8
PI068655,5,8
PI068658,5,8
PI068661,5,8
PI068663,5,8
PI068666,5,8
PI068671,5,8
PI068676,5,8
PI068680,5,8
PI068683,5,8
PI068685,5,8
PI068687,5,8
PI068694,5,8
PI068696,5,8
PI068704,5,8
PI068706,5,8
PI068708,5,8
PI068709,5,8
PI068712,5,8
PI068713,5,8
PI068715,5,8
PI068718,5,8
PI068725,5,8
PI068728,5,8
PI068729,5,8
PI068732,5,8
PI068736,5,8
PI068741,5,8
PI068746,5,8
PI068748,5,8
PI068761,5,8
PI068762,5,8
PI068763,5,8
PI068765,5,8
PI068770,5,8
PI068778,5,8
PI068788,5,8
PI068795,5,8
PI068815,5,8
PI069500,5,8
PI069503,5,8
PI069507,5,8
PI069512,5,8
PI069532,5,8
PI069533,5,8
PI069991,5,8
PI069992,5,8
PI069996,5,8
PI070009,5,8
PI070016,5,8
PI070017,5,8
PI070021,5,8
PI070027,5,8
PI070036,5,8
PI070077,5,8
PI070078,5,8
PI070084,5,8
PI070087,5,8
PI070089,5,8
PI070091,5,8
PI070197,5,8
PI070224,5,8
PI070228,5,8
PI070241,5,8
PI070242,5,8
PI070251,5,8
PI070453,5,8
PI070456,5,8
PI070457,5,8
PI070458,5,8
PI070459,5,8
PI070460,5,8
PI070461,5,8
PI070463,5,8
PI070476,5,8
PI070478,5,8
PI070485,5,8
PI070495,5,8
PI070503,5,8
PI070507,5,8
PI070516,5,8
PI070520,5,8
PI070561,5,8
PI071161,5,8
PI071850,5,8
PI072328,5,8
PI072337,5,8
PI072341,5,8
PI072342,5,8
PI073583,5,8
PI073585,5,8
PI073587,5,8
PI073772,5,8
PI073780,5,8
PI078242,5,8
PI078243,5,8
PI079586,5,8
PI079593,5,8
PI079596,5,8
PI079602,5,8
PI079609,5,8
PI079610,5,8
PI079613,5,8
PI079617,5,8
PI079648,5,8
PI079694,5,8
PI079695,5,8
PI079699,5,8
PI079703,5,8
PI079712,5,8
PI079727,5,8
PI079737,5,8
PI079745,5,8
PI079746,5,8
PI079747,5,8
PI079756,5,8
PI079761,5,8
PI079773,5,8
PI079846,5,8
PI079848,5,8
PI079863,5,8
PI079885,5,8
PI080469,5,8
PI080471,5,8
PI080485,5,8
PI080494,5,8
PI080536,5,8
PI080671,5,8
PI081033,5,8
PI081035,5,8
PI081040,5,8
PI081763,5,8
PI081765,5,8
PI081767,5,8
PI081768,5,8
PI081770,5,8
PI081771,5,8
PI081772,5,8
PI081773,5,8
PI081775,5,8
PI081971,1,8
PI082183,5,8
PI082184,5,8
PI082532,5,8
PI084580,5,8
PI084609,5,8
PI084637,5,8
PI084665,5,8
PI084668,5,8
PI084673,5,8
PI084674,5,8
