acid,RUST,
FC001547,3,8
FC030265,3.3,8
FC030267,3,8
FC031700,4,8
FC031745,2.3,8
FC031927,2,8
FC031933,4,8
FC032176,3.5,8
FC033123,4,8
PI030600,4,8
PI054857,3,8
PI055089,3,8
PI060273,4,8
PI062204,4.3,8
PI068423,3.7,8
PI068427,3.3,8
PI068443,3.3,8
PI068461,3.3,8
PI068465,4,8
PI068466,3.3,8
PI068474,3.3,8
PI068475,2.7,8
PI068488,3.3,8
PI068494,2,8
PI068500,3.3,8
PI068503,3,8
PI068521,3.3,8
PI068555,4.3,8
PI068564,3.7,8
PI068585,4,8
PI068655,3.5,8
PI068658,4,8
PI068671,4.3,8
PI068704,3.3,8
PI068708,4,8
PI068761,4,8
PI068770,4.3,8
PI068806,2,8
PI069533,3,8
PI070027,3,8
PI070456,3.7,8
PI071161,3.5,8
PI071564,3.5,8
PI071677,4,8
PI072227,4,8
PI072328,2.5,8
PI072337,2.5,8
PI073772,3.3,8
PI079648,2.8,8
PI079703,3.3,8
PI081763,3.5,8
PI081765,2.4,8
PI081773,2.7,8
PI082183,3.5,8
PI082291,3,8
PI082544,4.5,8
PI082581,4.3,8
PI083881,3.4,8
PI083915,5,8
PI084632,2,8
PI084668,2.7,8
PI084671,4.3,8
PI084674,2.5,8
PI084680,5,8
PI084686,4,8
PI084921,3,8
PI084979,4,8
PI085089,2.5,8
PI086053,3.7,8
PI086069,3,8
PI086078,2,8
PI086416,4,8
PI086892,3,8
PI086908,4.3,8
PI087047,3.7,8
PI087059,5,8
PI087606,5,8
PI087629,4,8
PI088350,3,8
PI088452,2.3,8
PI088490,3,8
PI088788,4,8
PI089075,3.3,8
PI089469,3,8
PI089772,4,8
PI090251,5,8
PI090256,3,8
PI090499,5,8
PI090574,4,8
PI091144,2.4,8
PI091162,3.3,8
PI091343,3.7,8
PI091646,4.3,8
PI091719,4,8
PI091730,2,8
PI092560,3.3,8
PI092563,3.3,8
PI092743,3.5,8
PI093055,3.5,8
PI094159,2,8
PI095853,3.7,8
PI095860,4,8
PI095969,3.5,8
PI096983,4,8
PI097081,5,8
PI103080,4,8
PI103088,3,8
PI103091,3.3,8
PI123440,5,8
PI124871,2,8
PI132217,2.3,8
PI135590,3.3,8
PI148259,3.3,8
PI148260,3,8
PI153210,3,8
PI153218,3.3,8
PI153221,4.3,8
PI153223,4.7,8
PI153236,3,8
PI153242,3.7,8
PI153243,3.7,8
PI153247,3.5,8
PI153261,4,8
PI153280,3,8
PI153310,3.3,8
PI153315,3.7,8
PI153316,3.7,8
PI153317,4,8
PI153321,3.6,8
PI154192,3.5,8
PI157417,4,8
PI157421,3.7,8
PI157429,4.7,8
PI157447,4.7,8
PI157457,4.7,8
PI157458,2.7,8
PI157471,4.7,8
PI157488,3.5,8
PI159925,5,8
PI164885,2.5,8
PI165524,2,8
PI165672,4,8
PI165676,5,8
PI165896,3.3,8
PI165914,2.8,8
PI166028,2,8
PI166147,3,8
PI170889,2.5,8
PI171430,3.3,8
PI171432,3.7,8
PI171451,3,8
PI174862,3,8
PI180509,3.3,8
PI181535,3,8
PI181542,3.7,8
PI181546,3,8
PI181553,4.7,8
PI181557,4,8
PI181561,2,8
PI181571,3,8
PI183900,3,8
PI187152,3.7,8
PI189402,3,8
PI189860,3.7,8
PI189866,3,8
PI189873,4,8
PI189883,3.7,8
PI189886,4.3,8
PI189894,3.7,8
PI189937,4,8
PI189938,4,8
PI189944,3.7,8
PI189968,2,8
PI192867,2.7,8
PI192870,3.7,8
PI194630,4,8
PI194636,2,8
PI194640,4,8
PI194641,4,8
PI194645,2.9,8
PI194648,2,8
PI194654,3,8
PI194655,3,8
PI194773,3.3,8
PI196160,4.3,8
PI196177,3,8
PI196486,3.3,8
PI196528,1.5,8
PI196529,3.2,8
PI196530,4,8
PI200446,2,8
PI200455,2.3,8
PI200456,2.3,8
PI200459,3.5,8
PI200464,3.7,8
PI200465,3,8
PI200466,3,8
PI200468,4,8
PI200474,4,8
PI200488,2.5,8
PI200492,3,8
PI200494,4,8
PI200496,3.3,8
PI200503,4,8
PI200507,3.3,8
PI200515,3.5,8
PI200516,2.5,8
PI200523,3.3,8
PI200525,4,8
PI200546,3,8
PI200593,4,8
PI201421,4,8
PI201428,4,8
PI203398,3.3,8
PI203399,3,8
PI204335,3.3,8
PI205910,3.3,8
PI206258,3.6,8
PI208203,4,8
PI208432,3,8
PI208437,2.8,8
PI208782,3.5,8
PI208783,3,8
PI208788,3.3,8
PI209332,3,8
PI209833,3.3,8
PI209837,3.5,8
PI210178,3,8
PI210353,3.7,8
PI219653,4.7,8
PI219656,3.3,8
PI219732,3,8
PI222549,2.5,8
PI224268,3,8
PI224270,2.5,8
PI224275,3.3,8
PI227219,3.5,8
PI227322,3.3,8
PI227331,2.5,8
PI227566,4.7,8
PI227687,4,8
PI229333,2.5,8
PI229339,3.3,8
PI229346,2.3,8
PI229347,4.3,8
PI229358,4.5,8
PI230970,2.9,8
PI230979,3.5,8
PI232902,3.5,8
PI232988,3,8
PI232989,2,8
PI232990,2.3,8
PI232999,4.3,8
PI235340,2.3,8
PI238109,2.3,8
PI238932,3.3,8
PI239236,3.3,8
PI243524,2,8
PI243533,3.7,8
PI245008,4,8
PI248398,3.7,8
PI248405,2.7,8
PI248406,4,8
PI253655,4,8
PI257438,4,8
PI257439,4,8
PI258383,2,8
PI259538,2.7,8
PI259539,3,8
PI261473,3.7,8
PI262180,4,8
PI274205,2.7,8
PI274206,4.3,8
PI274508,3.5,8
PI281910,3,8
PI283328,4,8
PI284873,3.5,8
PI285089,3.4,8
PI285092,4,8
PI290118,4,8
PI290124,4,8
PI290127,3.7,8
PI290132,3.7,8
PI290137,4.7,8
PI290138,4.3,8
PI290143,5,8
PI290153,3.3,8
PI290154,3.7,8
PI290155,3.4,8
PI290157,3.7,8
PI291275,3.3,8
PI291276,3,8
PI291278,3,8
PI291315,4,8
PI291318,3,8
PI297499,3.3,8
PI297501,3.7,8
PI297511,4,8
PI297525,4,8
PI297538,4,8
PI297548,4.3,8
PI297549,3.3,8
PI303651,3.3,8
PI304218,3.7,8
PI305074,3.3,8
PI306712,3.5,8
PI307866,2.7,8
PI307869,3.7,8
PI307892,3.5,8
PI307894,3.5,8
PI307895,3,8
PI307896,3,8
PI319525,2.7,8
PI319529,3,8
PI319538,5,8
PI322692,4,8
PI322694,3,8
PI323275,3,8
PI323276,3,8
PI323552,3.3,8
PI323563,3.5,8
PI326579,3.7,8
PI330634,3,8
PI331793,4,8
PI339734,3,8
PI339985,4,8
PI340007,4.3,8
PI340020,4.3,8
PI340027,3.3,8
PI340041,3,8
PI340050,3,8
PI341252,2.5,8
PI341264,3.7,8
PI342003,4.7,8
PI342004,4,8
PI342437,3,8
PI346298,3.7,8
PI346300,3.7,8
PI346306,3.7,8
PI347551,3.7,8
PI347556,4,8
PI358313,3.3,8
PI358314,4,8
PI360836,4.5,8
PI360846,3.7,8
PI360851,3.3,8
PI360954,2.7,8
PI360957,3,8
PI360958,3.7,8
PI360964,4,8
PI361083,4,8
PI361094,4.3,8
PI365426,3.3,8
PI370055,3.5,8
PI370058,2.7,8
PI371607,2.7,8
PI371609,3.7,8
PI371612,3.7,8
PI372402,3.3,8
PI372407,4,8
PI372410,4.3,8
PI372412,3.7,8
PI372413,2.3,8
PI372414,3.7,8
PI372417,3.7,8
PI372424,3,8
PI374154,3,8
PI374160,3.7,8
PI374175,3.3,8
PI374178,3.7,8
PI374183,3,8
PI374187,4,8
PI374189,2.3,8
PI374190,3.3,8
PI374191,3.3,8
PI374193,3,8
PI374206,3.7,8
PI374219,4.3,8
PI377577,3,8
PI378663,2.3,8
PI378672,3.3,8
PI379618,2.7,8
PI379619,3,8
PI379620,2.7,8
PI379621,3.7,8
PI379623,3.5,8
PI381657,3,8
PI381660,3.7,8
PI381663,4.5,8
PI381664,4,8
PI381679,3.3,8
PI384470,2,8
PI384474,3.3,8
PI385942,3.2,8
PI391577,4.3,8
PI391586,4,8
PI393535,3.3,8
PI393537,3,8
PI393542,3,8
PI398193,4.3,8
PI398240,3.5,8
PI398249,4.7,8
PI398267,3.7,8
PI398279,3,8
PI398280,3.5,8
PI398284,4,8
PI398285,4.5,8
PI398288,3.5,8
PI398289,3.3,8
PI398290,3.3,8
PI398292,2.5,8
PI398295,3.3,8
PI398299,3.7,8
PI398301,3.3,8
PI398302,3.3,8
PI398303,3,8
PI398304,4.5,8
PI398308,3,8
PI398310,3,8
PI398326,2.7,8
PI398328,3.3,8
PI398332,4,8
PI398333,4,8
PI398335,2,8
PI398340,3,8
PI398343,4,8
PI398344,4,8
PI398347,4,8
PI398356,3.3,8
PI398359,2,8
PI398368,3.3,8
PI398377,2.7,8
PI398378,3,8
PI398385,3,8
PI398399,2.5,8
PI398400,3.7,8
PI398409,3.5,8
PI398440,3.3,8
PI398458,4.5,8
PI398469,3,8
PI398477,3.3,8
PI398480,4,8
PI398482,2.3,8
PI398488,3,8
PI398495,2.7,8
PI398500,2.5,8
PI398502,4,8
PI398513,4,8
PI398516,4.7,8
PI398537,3.3,8
PI398558,2.7,8
PI398560,3.3,8
PI398567,4,8
PI398571,3.7,8
PI398574,3.3,8
PI398575,3.5,8
PI398587,3.3,8
PI398590,3.5,8
PI398592,3,8
PI398593,3.3,8
PI398600,4.3,8
PI398606,3.5,8
PI398609,3.3,8
PI398619,4.3,8
PI398624,3,8
PI398633,4.3,8
PI398636,4,8
PI398639,2.7,8
PI398655,4,8
PI398659,3.7,8
PI398663,3,8
PI398671,3.3,8
PI398681,4,8
PI398690,3,8
PI398692,3,8
PI398694,3.7,8
PI398708,3.3,8
PI398709,3.3,8
PI398712,4.3,8
PI398716,3.7,8
PI398725,3,8
PI398726,2.7,8
PI398728,3,8
PI398734,2,8
PI398741,3.3,8
PI398749,4.7,8
PI398756,3.7,8
PI398804,4,8
PI398843,3.7,8
PI398847,4.3,8
PI398849,4.7,8
PI398859,4,8
PI398862,3,8
PI398863,3.7,8
PI398885,4.7,8
PI398902,3,8
PI398903,3.3,8
PI398911,3,8
PI398913,4,8
PI398924,4.3,8
PI398927,4,8
PI398930,3.7,8
PI398933,4.7,8
PI398935,3,8
