acid,SCN14,SCN14code,
PI088788,1,,8
PI089772,2,,8
PI090763,4,,8
PI209332,4,,8
PI243526,5,4.400000095,8
PI305074,5,5,8
PI374170,5,4.800000191,8
PI374185,5,4.800000191,8
PI398826,5,5,8
PI398827,4,3.900000095,8
PI398850,5,4.5,8
PI398853,4,3.299999952,8
PI398896,5,4.199999809,8
PI398925,5,4.800000191,8
PI398945,5,4.199999809,8
PI398950,4,3.700000048,8
PI398952,5,4.199999809,8
PI398956,4,3.900000095,8
PI398966,5,4.599999905,8
PI398967,5,4.699999809,8
PI398973,4,3.799999952,8
PI398978,5,4.400000095,8
PI398983,5,4.099999905,8
PI398998,5,4.099999905,8
PI398999,4,3.599999905,8
PI399041,4,3.799999952,8
PI399047,4,3.700000048,8
PI399048,5,5,8
PI399049,5,4.5,8
PI399053,5,4.699999809,8
PI399061,5,,8
PI399087,5,5,8
PI399088,5,5,8
PI399090,5,4.900000095,8
PI399102,5,4.800000191,8
PI399104,5,5,8
PI407738,5,5,8
PI407743,5,5,8
PI407744,5,5,8
PI407771,5,4.800000191,8
PI407945,5,5,8
PI407964,5,5,8
PI407967,5,5,8
PI407969,5,4.300000191,8
PI407997,5,4.800000191,8
PI408007,5,5,8
PI408043,5,4.800000191,8
PI408044,5,4.900000095,8
PI408061,5,4.900000095,8
PI408085,5,4.5,8
PI408101,5,4.599999905,8
PI408240,5,4.699999809,8
PI408241,5,4.800000191,8
PI408253,5,5,8
PI408254,5,4.800000191,8
PI408257,5,5,8
PI408266,5,4.300000191,8
PI408340,5,4.900000095,8
PI408342,5,5,8
PI416754,5,5,8
PI416760,5,5,8
PI416766,5,4.5,8
PI416767,5,5,8
PI416781,5,5,8
PI416787,5,5,8
PI416790,5,4.800000191,8
PI416794,5,5,8
PI416796,5,5,8
PI416798,5,5,8
PI416809,5,4.300000191,8
PI416812,5,5,8
PI416848,5,5,8
PI416876,5,5,8
PI416885,5,4.800000191,8
PI416895,5,4.800000191,8
PI416903,5,5,8
PI416907,5,5,8
PI416912,5,4.800000191,8
PI416922,5,5,8
PI416924,5,4.900000095,8
PI416925,5,4.699999809,8
PI416932,5,5,8
PI416933,5,5,8
PI416937,5,5,8
PI416951,5,5,8
PI416955,5,4.800000191,8
PI416969,5,4.900000095,8
PI417011,5,4.699999809,8
PI417038,5,4.900000095,8
PI417083,5,5,8
PI417097,5,5,8
PI417164,5,5,8
PI417181,5,4.800000191,8
PI417188,5,5,8
PI417194,5,4.599999905,8
PI417197,5,5,8
PI417203,5,4.800000191,8
PI417204,5,5,8
PI417212,5,5,8
PI417216,5,5,8
PI417220,5,4.800000191,8
PI417221,5,5,8
PI417223,5,4,8
PI417224,5,5,8
PI417256,5,5,8
PI417267,5,4.300000191,8
PI417310,5,4.699999809,8
PI417330,5,4.300000191,8
PI417357,5,4.5,8
PI417358,5,5,8
PI417375,5,5,8
PI417376,5,5,8
PI417378,5,5,8
PI417405,5,5,8
PI417406,5,4.400000095,8
PI417407,5,4.300000191,8
PI417408,4,3.700000048,8
PI417409,4,3.5,8
PI417410,4,3.799999952,8
PI417416,5,4.400000095,8
PI417421,5,4,8
PI417422,5,4.599999905,8
PI417427,5,4,8
PI417444,5,4.800000191,8
PI417469,5,4.199999809,8
PI417473,5,5,8
PI417477,5,4.699999809,8
PI417490,5,4.800000191,8
PI417503,5,4.599999905,8
PI417561,5,5,8
PI417562,5,5,8
PI417563,5,4.900000095,8
PI423755,5,5,8
PI423780,5,5,8
PI423821,5,5,8
PI423822,5,4.800000191,8
PI423831,5,4.900000095,8
PI423849,5,5,8
PI423852,5,4.900000095,8
PI423853,5,5,8
PI423859,5,4.699999809,8
PI423861,5,5,8
PI423878,5,4.800000191,8
PI423879,5,5,8
PI423895,5,5,8
PI423898,5,4.900000095,8
PI423900,5,5,8
PI423905,5,5,8
PI423907,5,4.5,8
PI423918,5,5,8
PI423921,5,4.900000095,8
PI423925,5,5,8
PI423931,5,4.400000095,8
PI423964,5,5,8
PI423965,5,4.5,8
PI423969,5,5,8
PI423970,5,5,8
PI423978,5,4.400000095,8
PI423986,5,4.800000191,8
PI424136,5,4.699999809,8
PI424138,5,5,8
PI424139,5,4.300000191,8
PI424142,5,4.099999905,8
PI424144,5,5,8
PI424145,5,4.5,8
PI424146,5,4.199999809,8
PI424147,5,4.800000191,8
PI424161,5,4.400000095,8
PI424163,5,4.699999809,8
PI424166,5,5,8
PI424170,5,4.300000191,8
PI424174,5,4.800000191,8
PI424176,5,4.300000191,8
PI424183,5,4.099999905,8
PI424185,5,4.099999905,8
PI424186,5,5,8
PI424187,5,4.599999905,8
PI424304,5,4.199999809,8
PI424360,5,4,8
PI424361,4,3,8
PI424375,5,4,8
PI424391,5,4.5,8
PI424416,5,5,8
PI424433,4,3.599999905,8
PI424434,5,4.800000191,8
PI424437,5,4.800000191,8
PI424438,5,4.900000095,8
PI424442,5,5,8
PI424447,5,4.699999809,8
PI424453,5,4.400000095,8
PI424456,4,3.799999952,8
PI424461,5,5,8
PI424464,5,4,8
PI424473,5,4.599999905,8
PI424478,5,4.300000191,8
PI424501,5,4.400000095,8
PI424502,5,4,8
PI424534,5,4.300000191,8
PI424591,5,4.300000191,8
PI424594,5,4.099999905,8
PI424595,5,,8
PI424616,5,5,8
PI427241,5,4.199999809,8
PI427276,5,4.699999809,8
PI428691,5,5,8
PI429327,5,4.5,8
PI429328,5,4.400000095,8
PI429329,5,4.800000191,8
PI429330,5,4.300000191,8
PI430626,5,4.5,8
PI434974,5,4.300000191,8
PI434975,5,4.400000095,8
PI434976,4,3.5,8
PI434981,5,4.199999809,8
PI434982,5,4,8
PI436563,5,4.800000191,8
PI436565,5,4.400000095,8
PI436566,4,3.799999952,8
PI436567,5,4,8
PI436568,5,4.900000095,8
PI437562,5,4.5,8
PI437654,1,,8
PI437667,5,4.099999905,8
PI437668,4,3.5,8
PI437670,4,3.099999905,8
PI437671,5,4.599999905,8
PI437696,4,3.400000095,8
PI437708,5,4.199999809,8
PI437717,5,4,8
PI437719,5,4.699999809,8
PI437726,4,3.700000048,8
PI437730,5,4.199999809,8
PI437734,5,4.599999905,8
PI437813,5,4.300000191,8
PI438280,5,4.5,8
PI438284,4,3.599999905,8
PI438293,4,3.5,8
PI438294,5,4.300000191,8
PI438297,5,4.400000095,8
PI438306,5,4.599999905,8
PI438342,4,,8
PI438343,5,4.099999905,8
PI438344,5,4.199999809,8
PI438347,5,4.5,8
PI438425,5,4.900000095,8
PI438426,5,4.199999809,8
PI438428,4,3.200000048,8
PI438430,5,5,8
PI438431,4,3.599999905,8
PI438432,5,4.599999905,8
PI438438,5,4.300000191,8
PI438439,5,5,8
PI441352,5,4.400000095,8
PI441353,5,5,8
PI441355,5,4.599999905,8
PI441358,5,5,8
PI441359,5,4.5,8
PI441377,5,4.800000191,8
PI441378,4,3.799999952,8
PI441380,5,4.599999905,8
PI441381,5,4.199999809,8
PI442014,5,4.800000191,8
PI442017,5,4.400000095,8
PI442020,5,4.800000191,8
PI445681,5,4.800000191,8
PI445683,5,4.800000191,8
PI445842,5,4.599999905,8
PI445843,4,3.799999952,8
PI445849,5,4.300000191,8
PI458025,5,4.599999905,8
PI458026,5,5,8
PI458027,5,4.900000095,8
PI458028,5,4.699999809,8
PI458029,5,5,8
PI458030,5,5,8
PI458031,5,5,8
PI458032,5,4.599999905,8
PI458033,5,4,8
PI458034,5,5,8
PI458035,5,5,8
PI458036,5,5,8
PI458037,5,5,8
PI458038,5,5,8
PI458039,5,4,8
PI458040,5,4.8,8
PI458041,5,5,8
PI458042,5,5,8
PI458043,5,5,8
PI458044,5,4.699999809,8
PI458046,5,5,8
PI458047,5,5,8
PI458048,5,5,8
PI458049,5,5,8
PI458050,5,5,8
PI458052,5,5,8
PI458054,5,5,8
PI458055,5,5,8
PI458056,5,5,8
PI458057,5,4.9,8
PI458059,5,5,8
PI458063,5,5,8
PI458064,5,5,8
PI458066,5,5,8
PI458069,5,5,8
PI458071,5,5,8
PI458073,5,4.800000191,8
PI458075,5,5,8
PI458076,5,4,8
PI458077,5,5,8
PI458078,5,4.8,8
PI458079,5,5,8
PI458080,5,5,8
PI458081,5,4.300000191,8
PI458082,5,5,8
PI458083,5,4.699999809,8
PI458084,5,5,8
PI458086,5,5,8
PI458087,5,5,8
PI458088,5,5,8
PI458089,5,5,8
PI458091,5,4.800000191,8
PI458092,5,4.800000191,8
PI458093,5,4,8
PI458094,5,4.900000095,8
PI458095,5,5,8
PI458096,4,3.700000048,8
PI458097,5,4.099999905,8
PI458098,5,5,8
PI458099,5,4.599999905,8
PI458100,4,3.900000095,8
PI458101,5,5,8
PI458102,4,3.900000095,8
PI458103,5,4.8,8
PI458104,5,4.8,8
PI458105,5,4.6,8
PI458106,5,5,8
PI458107,4,3.799999952,8
PI458109,5,5,8
PI458110,5,5,8
PI458111,5,5,8
PI458113,5,5,8
PI458114,5,5,8
PI458115,5,5,8
PI458116,5,5,8
PI458117,5,5,8
PI458118,5,5,8
PI458119,5,5,8
PI458120,5,5,8
PI458121,5,5,8
PI458122,5,4.699999809,8
PI458124,5,4.800000191,8
PI458125,5,5,8
PI458126,5,5,8
PI458127,5,4.800000191,8
PI458128,5,4.900000095,8
PI458129,5,5,8
PI458131,5,5,8
PI458132,5,5,8
PI458134,5,5,8
PI458135,5,5,8
PI458136,5,5,8
PI458137,5,5,8
PI458138,5,5,8
PI458139,5,5,8
PI458140,5,5,8
PI458141,5,5,8
PI458142,5,5,8
PI458143,5,5,8
PI458144,5,5,8
PI458145,5,5,8
PI458146,5,4.800000191,8
PI458147,5,5,8
PI458148,5,5,8
PI458149,5,5,8
PI458151,5,5,8
PI458152,5,5,8
PI458153,5,4.599999905,8
PI458154,5,5,8
PI458155,5,4.5,8
PI458156,5,5,8
PI458157,5,5,8
PI458158,5,4.9,8
