acid,SCN3.491576,SCN3code.491576
PI458244B,2,2.3
PI507458,2,1.8
PI458144,4,3.3
PI467322B,4,3.6
PI458208,4,3.3
PI538375,4,3.4
PI458246A,4,3.5
PI458160,4,3.6
PI458138,4,3.5
PI458269,4,3.5
PI458519B,4,3.3
PI458522,4,3.3
PI458105,4,3.3
PI458117,4,3.8
PI458120,4,3.4
PI458121,4,3.3
PI458123A,4,3
PI458125,4,3.3
PI458129,4,3.7
PI458131,4,3.9
PI458134,4,3.8
PI458139,4,3.8
PI458141,4,2.8
PI458145,4,3.7
PI458147,4,3.8
PI458152,4,3.8
PI458157,4,3.8
PI458163,4,3.8
PI458175D,4,3.2
PI458176,4,3.6
PI458184,4,2.7
PI458188,4,3.7
PI458189B,4,3.3
PI458191,4,3.3
PI458194,4,3
PI458195,4,3.3
PI458197,4,3.3
PI458203B,4,3.4
PI458204,4,3.7
PI458205,4,3.5
PI458209,4,3.7
PI458216,4,3.7
PI458217,4,3.3
PI458221,4,3.8
PI458222,4,3.5
PI458226,4,3.8
PI458227,4,3.6
PI458229,4,3.7
PI458230A,4,3.3
PI458231,4,3.5
PI458232,4,3.4
PI458233,4,3.4
PI458234,4,3.3
PI458235,4,3.8
PI458236A,4,2.8
PI458237,4,3
PI458244A,4,3.4
PI458246B,4,3.7
PI458248,4,3.6
PI458252,4,3.8
PI458254,4,3.3
PI458255,4,3.7
PI458294,4,3.8
PI458298,4,3.4
PI458506,4,3.5
PI458515,4,3.4
PI464915A,4,3.7
PI468923,4,3.2
PI538378,4,3.1
PI464909,4,3.1
PI458156,4,3.7
PI458172A,4,3.8
PI458247,4,3.9
PI458249,4,2.6
PI506933,4,3.4
PI507311,4,3.8
PI507413,4,3
PI507415,4,3.8
PI467323A,4,3.8
PI467321,4,3.6
PI518756,4,3.7
PI458546,4,3.5
PI467322A,4,3.8
PI467320,4,3.8
PI532447,4,3.2
PI467323B,4,3.6
PI509109,4,3.7
PI506474,4,3.8
PI468920,4,3.7
PI479716,4,3.5
PI506595A,5,5
PI458132,5,4
PI458095,5,5
PI520733,5,5
PI518711,5,5
PI508296B,5,5
PI507082A,5,5
PI507221,5,5
PI507531,5,5
PI464920B,5,4.2
PI479724A,5,5
PI504503,5,5
PI507279,5,5
PI504493,5,5
PI506847,5,5
PI470227B,5,5
PI507092,5,5
PI503334,5,5
PI475813A,5,4.9
PI475814,5,5
PI506863,5,5
PI479735,5,5
PI507021,5,5
PI508296H,5,4.7
PI509089,5,4.8
PI458266,5,4
PI507473,5,4.6
PI532464,5,5
PI538377,5,4.8
PI476911,5,5
PI476942,5,5
PI509085,5,5
PI506572,5,5
PI507282,5,5
PI507400,5,4.8
PI507535,5,4.7
PI507564,5,5
PI458114,5,4
PI458136,5,4.6
PI458307A,5,4.3
PI538385A,5,5
PI495017A,5,5
PI518716,5,5
PI532465,5,5
PI467329,5,4.7
PI470224,5,4.9
PI470227A,5,5
PI471899,5,4.6
PI475824A,5,5
PI476939,5,5
PI479724B,5,5
PI479740,5,5
PI479743,5,5
PI495017B,5,5
PI507671,5,4.7
PI507676,5,5
PI507708,5,5
PI507716,5,5
PI509107,5,5
PI518283,5,5
PI518751,5,5
PI518757,5,4.7
PI506511,5,4.6
PI506573,5,5
PI506663,5,5
PI506808,5,5
PI506836,5,5
PI506853,5,5
PI506859,5,5
PI506865,5,4.7
PI507064,5,5
PI507106,5,5
PI507195,5,5
PI507237,5,4.8
PI507238,5,5
PI507240,5,5
PI507273,5,4.8
PI507293A,5,5
PI507318,5,5
PI507334,5,4.8
PI507368,5,4.6
PI507448,5,5
PI507461,5,5
PI507483,5,5
PI507492,5,5
PI509083,5,5
PI458088,5,4.8
PI458148,5,4.6
PI532463A,5,4.7
PI464887,5,4.9
PI490768,5,4.5
PI538387,5,5
PI475826,5,5
PI476938,5,4.7
PI504498,5,4.7
PI504501,5,4.7
PI509112,5,5
PI506524,5,4.3
PI506635,5,5
PI506703,5,5
PI506803,5,5
PI506864B,5,4.8
PI506920,5,4.8
PI506943,5,5
PI507294A,5,5
PI507325,5,4.8
PI507341,5,5
PI507406B,5,5
PI507491,5,5
PI507493,5,5
PI476887,5,4.9
PI538386B,5,4.7
PI532462A,5,5
PI476880,5,4.2
PI495020,5,5
PI532441B,5,5
PI506477,5,4.8
PI506523,5,4.5
PI506785,5,5
PI507166,5,5
PI507424,5,5
PI507442A,5,5
PI476936,5,4.6
PI507189A,5,5
PI458276,5,4.7
PI507364,5,5
PI538383,5,5
PI532457,5,5
PI538376,5,4.8
PI476914,5,5
PI479742,5,5
PI499957,5,5
PI504486,5,5
PI508296A,5,4.8
PI518718A,5,5
PI532437,5,5
PI536547A,5,5
PI506482,5,4.9
PI506525,5,4.8
