acid,SCN5,
FC002108,5,8
FC002109,5,8
FC003548,5,8
FC003609,5,8
FC003659,5,8
FC019976,5,8
FC021340,5,8
FC029219,5,8
FC029333,5,8
FC030233,5,8
FC030265,4,8
FC030267,4,8
FC030282,5,8
FC030683,5,8
FC030684,5,8
FC030685,5,8
FC030687,5,8
FC030689,5,8
FC030691,5,8
FC030692,5,8
FC030694,5,8
FC030967,5,8
FC031122,5,8
FC031408,5,8
FC031409,5,8
FC031416,5,8
FC031557,5,8
FC031571,5,8
FC031572,4,8
FC031579,5,8
FC031592,5,8
FC031622,5,8
FC031630,5,8
FC031649,4,8
FC031676,5,8
FC031677,5,8
FC031678,5,8
FC031684,5,8
FC031685,5,8
FC031689,5,8
FC031697,5,8
FC031700,5,8
FC031702,5,8
FC031707,4,8
FC031715,5,8
FC031719,5,8
FC031721,5,8
FC031732,5,8
FC031737,5,8
FC031744,4,8
FC031750,5,8
FC031918,5,8
FC031919,4,8
FC031921,5,8
FC031927,4,8
FC031933,5,8
FC031934,5,8
FC031946,5,8
FC032033,5,8
FC032141,5,8
FC032176,4,8
FC033123,4,8
FC033243,5,8
PI019986,5,8
PI030594,5,8
PI030599,5,8
PI030600,5,8
PI036653,5,8
PI047131,5,8
PI054583,5,8
PI054591,5,8
PI054592,5,8
PI054600,5,8
PI054604,5,8
PI054607,5,8
PI054608,5,8
PI054609,5,8
PI054613,5,8
PI054614,5,8
PI054615,5,8
PI054617,5,8
PI054618,5,8
PI054619,5,8
PI054620,5,8
PI054809,5,8
PI054818,5,8
PI054834,5,8
PI054853,5,8
PI054854,5,8
PI054855,5,8
PI054857,5,8
PI054859,5,8
PI054862,5,8
PI054865,5,8
PI054873,5,8
PI055089,5,8
PI055887,5,8
PI056563,1,8
PI057334,5,8
PI058955,5,8
PI059845,5,8
PI059849,5,8
PI060269,4,8
PI060272,5,8
PI060273,4,8
PI060279,5,8
PI060296,5,8
PI060970,5,8
PI061940,5,8
PI061944,5,8
PI061947,5,8
PI062199,5,8
PI062202,5,8
PI062203,5,8
PI062204,4,8
PI062248,5,8
PI062483,5,8
PI063271,5,8
PI063468,5,8
PI063945,5,8
PI064698,5,8
PI064747,5,8
PI065338,5,8
PI065341,5,8
PI065342,5,8
PI065346,5,8
PI065354,5,8
PI065379,5,8
PI065388,5,8
PI068011,5,8
PI068398,5,8
PI068410,5,8
PI068421,5,8
PI068423,5,8
PI068427,5,8
PI068430,5,8
PI068436,5,8
PI068439,5,8
PI068443,5,8
PI068446,5,8
PI068448,5,8
PI068449,5,8
PI068454,5,8
PI068455,5,8
PI068457,5,8
PI068461,5,8
PI068465,5,8
PI068466,5,8
PI068470,5,8
PI068474,5,8
PI068475,5,8
PI068479,5,8
PI068480,5,8
PI068481,5,8
PI068483,5,8
PI068488,5,8
PI068494,5,8
PI068500,5,8
PI068503,5,8
PI068508,5,8
PI068516,5,8
PI068521,5,8
PI068522,5,8
PI068523,5,8
PI068526,5,8
PI068528,5,8
PI068530,5,8
PI068535,5,8
PI068543,5,8
PI068554,5,8
PI068555,5,8
PI068560,5,8
PI068562,5,8
PI068564,5,8
PI068572,5,8
PI068576,5,8
PI068585,5,8
PI068586,5,8
PI068587,5,8
PI068598,5,8
PI068599,5,8
PI068600,5,8
PI068610,5,8
PI068621,5,8
PI068622,5,8
PI068627,5,8
PI068629,5,8
PI068639,5,8
PI068642,5,8
PI068644,5,8
PI068648,5,8
PI068655,5,8
PI068658,5,8
PI068661,5,8
PI068663,5,8
PI068666,5,8
PI068671,5,8
PI068676,5,8
PI068679,5,8
PI068680,5,8
PI068683,5,8
PI068685,5,8
PI068687,5,8
PI068692,5,8
PI068694,5,8
PI068696,5,8
PI068701,5,8
PI068704,5,8
PI068706,5,8
PI068708,5,8
PI068709,5,8
PI068710,5,8
PI068712,5,8
PI068713,5,8
PI068715,5,8
PI068718,5,8
PI068722,5,8
PI068725,5,8
PI068728,5,8
PI068729,5,8
PI068731,5,8
PI068732,5,8
PI068736,5,8
PI068741,5,8
PI068746,5,8
PI068748,5,8
PI068756,5,8
PI068759,5,8
PI068761,5,8
PI068762,5,8
PI068763,5,8
PI068765,5,8
PI068768,5,8
PI068770,5,8
PI068778,5,8
PI068788,5,8
PI068795,5,8
PI068806,5,8
PI068815,5,8
PI069500,5,8
PI069501,5,8
PI069503,5,8
PI069507,5,8
PI069512,5,8
PI069515,5,8
PI069532,5,8
PI069533,5,8
PI069991,5,8
PI069992,5,8
PI069993,5,8
PI069995,5,8
PI069996,5,8
PI070001,5,8
PI070009,5,8
PI070013,5,8
PI070014,5,8
PI070016,5,8
PI070017,5,8
PI070019,5,8
PI070021,5,8
