acid,SCN5code,
FC002108,4,8
FC002109,4,8
FC003548,4,8
FC003609,4,8
FC003654N,4,9
FC003659,4,8
FC004002B,4,9
FC004002N,4,9
FC004007A,4,9
FC004007B,4,9
FC019976,4,8
FC019976-1,4,10
FC019976-2,4,10
FC019979-1,4,10
FC019979-2,4,10
FC019979-3,4,10
FC019979-4,4,10
FC019979-5,4,10
FC019979-6,4,10
FC019979-7,4,10
FC021340,4,8
FC029219,4,8
FC029333,4,8
FC030233,4,8
FC030265,3,8
FC030267,3,8
FC030282,4,8
FC030683,4,8
FC030684,4,8
FC030685,4,8
FC030687,4,8
FC030689,4,8
FC030691,4,8
FC030692,4,8
FC030694,4,8
FC030967,4,8
FC031122,4,8
FC031408,4,8
FC031409,4,8
FC031416,4,8
FC031557,4,8
FC031571,4,8
FC031572,3,8
FC031572-3,4,10
FC031579,4,8
FC031592,4,8
FC031622,4,8
FC031630,4,8
FC031649,3,8
FC031676,4,8
FC031677,4,8
FC031678,4,8
FC031684,4,8
FC031685,4,8
FC031689,4,8
FC031697,4,8
FC031700,4,8
FC031702,4,8
FC031707,3,8
FC031715,4,8
FC031719,4,8
FC031721,4,8
FC031732,4,8
FC031737,4,8
FC031744,3,8
FC031750,4,8
FC031918,4,8
FC031919,3,8
FC031921,4,8
FC031927,3,8
FC031933,4,8
FC031934,4,8
FC031946,4,8
FC032033,4,8
FC032141,4,8
FC032176,3,8
FC033123,3,8
FC033243,4,8
PI019986,4,8
PI030594,4,8
PI030599,4,8
PI030600,4,8
PI036653,4,8
PI047131,4,8
PI054583,4,8
PI054591,4,8
PI054592,4,8
PI054600,4,8
PI054604,4,8
PI054606-1,4,10
PI054606-2,4,10
PI054607,4,8
PI054608,4,8
PI054608-1,4,10
PI054608-2,4,10
PI054608-3,4,10
PI054608-4,4,10
PI054608-5,4,10
PI054609,4,8
PI054610-1,4,10
PI054610-4,4,10
PI054613,4,8
PI054614,4,8
PI054615,4,8
PI054615-1,4,10
PI054615-2,4,10
PI054617,4,8
PI054618,4,8
PI054619,4,8
PI054620,4,8
PI054620-2,4,10
PI054809,4,8
PI054818,4,8
PI054834,4,8
PI054853,4,8
PI054854,4,8
PI054855,4,8
PI054857,4,8
PI054859,4,8
PI054862,4,8
PI054865,4,8
PI054873,4,8
PI055089,4,8
PI055089-1,4,10
PI055887,4,8
PI056563,1,8
PI057334,4,8
PI058955,4,8
PI059845,4,8
PI059849,4,8
PI060269,3,8
PI060269-2,4,10
PI060272,4,8
PI060273,3,8
PI060279,4,8
PI060296,4,8
PI060296-1,4,10
PI060296-2,4,10
PI060970,4,8
PI061940,4,8
PI061944,4,8
PI061947,4,8
PI062199,4,8
PI062202,4,8
PI062202-2,4,10
PI062203,4,8
PI062204,3,8
PI062248,4,8
PI062483,4,8
PI063271,4,8
PI063468,4,8
PI063945,4,8
PI064698,4,8
PI064747,4,8
PI065338,4,8
PI065341,4,8
PI065342,4,8
PI065346,4,8
PI065354,4,8
PI065379,4,8
PI065388,4,8
PI068011,4,8
PI068398,4,8
PI068410,4,8
PI068421,4,8
PI068423,4,8
PI068427,4,8
PI068430,4,8
PI068436,4,8
PI068439,4,8
PI068443,4,8
PI068446,4,8
PI068448,4,8
PI068449,4,8
PI068454,4,8
PI068455,4,8
PI068457,4,8
PI068457-1,4,10
PI068461,4,8
PI068461-1,4,10
PI068465,4,8
PI068465-1,3,10
PI068466,4,8
PI068470,4,8
PI068474,4,8
PI068474-2,4,10
PI068475,4,8
PI068475-1,4,10
PI068479,4,8
PI068479-1,4,10
PI068480,4,8
PI068481,4,8
PI068483,4,8
PI068484-1,4,10
PI068484-4,4,10
PI068488,4,8
PI068494,4,8
PI068500,4,8
PI068503,4,8
PI068508,4,8
PI068516,4,8
PI068521,4,8
PI068521-1,4,10
PI068522,4,8
PI068523,4,8
PI068526,4,8
PI068528,4,8
PI068530,4,8
PI068530-2,4,10
PI068533-1,4,10
PI068533-2,4,10
PI068535,4,8
PI068543,4,8
PI068551-2,4,10
PI068551-3,4,10
PI068554,4,8
PI068555,4,8
PI068560,4,8
PI068562,4,8
PI068564,4,8
PI068572,4,8
PI068576,4,8
PI068585,4,8
PI068586,4,8
PI068587,4,8
PI068598,4,8
PI068599,4,8
PI068600,4,8
PI068604-1,4,10
PI068604-2,4,10
PI068609A,4,9
PI068609B,4,9
PI068610,4,8
PI068621,4,8
PI068622,4,8
PI068627,4,8
PI068629,4,8
PI068639,4,8
PI068642,4,8
PI068644,4,8
PI068648,4,8
PI068655,4,8
PI068658,4,8
PI068661,4,8
PI068663,4,8
PI068666,4,8
PI068670-1,4,10
PI068670-2,4,10
PI068671,4,8
PI068676,4,8
PI068679,4,8
PI068679-2,4,10
PI068680,4,8
PI068680-2,4,10
PI068683,4,8
PI068685,4,8
PI068687,4,8
PI068692,4,8
PI068692-2,4,10
PI068694,4,8
PI068696,4,8
PI068701,4,8
PI068704,4,8
PI068706,4,8
PI068708,4,8
PI068709,4,8
PI068710,4,8
PI068712,4,8
PI068713,4,8
PI068715,4,8
PI068718,4,8
PI068722,4,8
PI068725,4,8
PI068728,4,8
PI068729,4,8
PI068731,4,8
PI068732,4,8
PI068732-1,4,10
PI068736,4,8
PI068741,4,8
PI068746,4,8
PI068748,4,8
PI068748-1,4,10
PI068756,4,8
PI068759,4,8
PI068761,4,8
PI068761-3,4,10
PI068762,4,8
PI068763,4,8
PI068765,4,8
PI068768,4,8
PI068770,4,8
PI068778,4,8
PI068788,4,8
PI068795,4,8
PI068806,4,8
PI068815,4,8
PI069500,4,8
PI069501,4,8
PI069503,4,8
PI069507,4,8
PI069507-1,4,10
PI069512,4,8
PI069515,4,8
PI069532,4,8
PI069533,4,8
PI069991,4,8
PI069992,4,8
PI069993,4,8
PI069995,4,8
PI069996,4,8
PI070001,4,8
PI070009,4,8
PI070013,4,8
PI070014,4,8
PI070016,4,8
PI070017,4,8
PI070019,4,8
PI070021,4,8
PI070023,4,8
PI070027,4,8
PI070036,4,8
PI070076,4,8
PI070077,4,8
PI070078,4,8
PI070080,4,8
PI070084,4,8
PI070087,4,8
PI070089,4,8
PI070091,4,8
PI070188,4,8
PI070189,4,8
PI070192,4,8
PI070197,4,8
PI070199,4,8
PI070201,4,8
PI070202,4,8
PI070208,4,8
PI070212,4,8
PI070213,4,8
PI070224,4,8
PI070228,4,8
PI070229,4,8
PI070241,4,8
PI070242,4,8
PI070242-2,4,10
PI070242-4,4,10
PI070243,4,8
PI070247,4,8
PI070251,4,8
PI070253,4,8
PI070453,4,8
PI070456,4,8
PI070458,4,8
PI070459,4,8
PI070460,4,8
PI070461,4,8
PI070462,4,8
PI070463,4,8
PI070466-3,4,10
PI070466-4,4,10
PI070467,4,8
PI070469,4,8
PI070469-1,4,10
PI070470,4,8
PI070471,4,8
PI070473,4,8
PI070473-1,4,10
PI070476,4,8
PI070478,4,8
PI070485,4,8
PI070490,4,8
PI070495,4,8
PI070500,4,8
PI070501,4,8
PI070503,4,8
PI070507,4,8
PI070515,4,8
PI070516,4,8
PI070519,4,8
PI070520,4,8
PI070528,4,8
PI070541,4,8
PI070559,4,8
PI070561,4,8
PI070566,4,8
PI071161,1,8
PI071444,3,8
PI071461,4,8
PI071463,4,8
PI071465,4,8
PI071506,3,8
PI071564,4,8
PI071570,3,8
PI071667,3,8
PI071677,4,8
PI071845,4,8
PI071850,4,8
PI071850-1,4,10
PI072227,4,8
PI072232,4,8
PI072328,4,8
PI072337,4,8
PI072341,4,8
PI072342,3,8
PI073583,4,8
PI073585,4,8
PI073587,3,8
PI073772,4,8
PI073780,4,8
PI078242,4,8
PI078243,3,8
PI079583,4,8
PI079586,4,8
PI079587,4,8
PI079593,4,8
PI079596,4,8
PI079602,4,8
PI079609,4,8
PI079610,3,8
PI079613,3,8
PI079616,4,8
PI079617,4,8
PI079620,4,8
PI079627,3,8
PI079628,4,8
PI079645,4,8
PI079648,4,8
PI079691,4,8
PI079691-4,4,10
PI079692,4,8
PI079693,3,8
PI079694,4,8
PI079695,4,8
PI079696,3,8
PI079699,4,8
PI079703,4,8
PI079710,4,8
PI079712,3,8
PI079726,4,8
PI079727,4,8
PI079732-3,3,10
PI079732-4,4,10
PI079737,3,8
PI079739,4,8
PI079743,4,8
PI079745,4,8
PI079746,3,8
PI079747,3,8
PI079756,3,8
PI079760,4,8
PI079761,4,8
PI079773,3,8
PI079797,3,8
PI079825,4,8
PI079825-1,3,10
PI079832,4,8
PI079835,3,8
PI079846,3,8
PI079848,4,8
PI079848-1,4,10
PI079861,4,8
PI079862,3,8
PI079862-1,4,10
PI079863,4,8
PI079870-1,4,10
PI079870-2,4,10
PI079870-4,4,10
PI079870-6,3,10
PI079872,4,8
PI079874,4,8
PI079874-1,4,10
PI079885,4,8
PI080459,4,8
PI080461,4,8
PI080466,4,8
PI080466-1,4,10
PI080466-2,4,10
PI080468,4,8
PI080469,4,8
PI080470,4,8
PI080471,4,8
PI080471-1,4,10
PI080473,4,8
PI080476,4,8
PI080479,4,8
PI080480,4,8
PI080481,4,8
PI080485,4,8
PI080488,3,8
PI080488-1,3,10
PI080494,3,8
PI080498,4,8
PI080498-1,3,10
PI080536,3,8
PI080671,3,8
PI080822,3,8
PI080825,3,8
PI080828-1,3,10
PI080828-2,3,10
PI080831,3,8
PI080834-1,3,10
PI080834-2,1,10
PI080837,1.5,8
PI080841,3,8
PI080844-2,4,10
PI080844-3,3,10
PI080845-1,4,10
PI080845-2,4,10
PI080847-1,4,10
PI080847-2,4,10
PI081023,4,8
PI081027,4,8
PI081029,4,8
PI081029-1,4,10
PI081029N,4,9
PI081030,4,8
PI081030-1,3,10
PI081031-1,3,10
PI081031-2,4,10
PI081033,4,8
PI081034-1,4,10
PI081034-2,4,10
PI081035,4,8
PI081037,4,8
PI081037-1,4,10
PI081037-2,4,10
PI081037-3,4,10
PI081037-4,4,10
PI081037-5,4,10
PI081038,4,8
PI081040,4,8
PI081041,4,8
PI081041-1,4,10
PI081042,4,8
PI081042-1,4,10
PI081042-2,4,10
PI081044-1,4,10
PI081044-2,4,10
PI081667,4,8
PI081763,4,8
PI081764,4,8
PI081765,4,8
PI081766,4,8
PI081767,4,8
PI081768,4,8
PI081770,4,8
PI081771,4,8
PI081772,4,8
PI081773,4,8
PI081774,4,8
PI081775,4,8
PI081777,4,8
PI081780,4,8
PI081780S,4,9
PI081785,4,8
PI081971,4,8
PI082183,4,8
PI082184,4,8
PI082184S,4,9
PI082210,4,8
PI082218,4,8
PI082232,4,8
PI082235,4,8
PI082246,4,8
PI082246-1,4,10
PI082259,4,8
PI082263-1,4,10
PI082263-2,4,10
PI082263-3,4,10
PI082264,4,8
PI082278,4,8
PI082286,4,8
PI082291,4,8
PI082295,4,8
PI082296,4,8
PI082302,4,8
PI082307,4,8
PI082308,4,8
PI082312,4,8
PI082312N,4,9
PI082315,4,8
PI082325,4,8
PI082326,4,8
PI082509,4,8
PI082527,4,8
PI082532,4,8
PI082534,4,8
PI082544,4,8
PI082554,4,8
PI082555,4,8
PI082558,4,8
PI082581,4,8
PI082588,4,8
PI083836,4,8
PI083853,4,8
PI083858,4,8
PI083868,4,8
PI083874,4,8
PI083881,4,8
PI083881A,4,9
PI083889,4,8
PI083891,4,8
PI083892,4,8
PI083893,4,8
PI083915,4,8
PI083923,4,8
PI083925,4,8
PI083940,4,8
PI083942,4,8
PI083944,4,8
PI083945-1,4,10
PI083945-3,4,10
PI083945-4,4,10
PI083946,4,8
PI084509,4,8
PI084578,4,8
PI084579,4,8
PI084580,4,8
PI084581,4,8
PI084594,4,8
PI084609,4,8
PI084610,4,8
PI084611,4,8
PI084619,4,8
PI084628,4,8
PI084631,4,8
PI084632,4,8
PI084632S,4,9
PI084633,4,8
PI084637,4,8
PI084639,4,8
PI084644,4,8
PI084646,4,8
PI084646-2,4,10
PI084656,4,8
PI084657,4,8
PI084660,4,8
PI084662,4,8
PI084664,3,8
PI084665,3,8
PI084666,4,8
PI084666-1,4,10
PI084668,4,8
PI084668-1,4,10
PI084669,4,8
PI084669N,4,9
PI084671,3,8
PI084673,4,8
PI084673-1,4,10
PI084674,3,8
PI084679,4,8
PI084680,4,8
PI084681,4,8
PI084682,3,8
PI084683,4,8
PI084683A,4,9
PI084686,4,8
PI084713,4,8
PI084724,4,8
PI084734,4,8
PI084742,3,8
PI084750,4,8
PI084751,4,8
PI084757,4,8
PI084807,4,8
PI084810,4,8
PI084874,4,8
PI084896,4,8
PI084908-1,4,10
PI084908-2,3,10
PI084910,4,8
PI084912,4,8
PI084914,4,8
PI084921,4,8
PI084928,4,8
PI084939,4,8
PI084944,4,8
PI084946-1,4,10
PI084946-2,4,10
PI084949,4,8
PI084954,4,8
PI084957,4,8
PI084957-1,4,10
PI084959,4,8
PI084960,4,8
PI084964,4,8
PI084965,3,8
PI084967,4,8
PI084970,4,8
PI084973,3,8
PI084976,4,8
PI084976-1,4,10
PI084979,4,8
PI084985,3,8
PI084987,4,8
PI084987A,4,9
PI084992,4,8
PI085009-1,4,10
PI085009-2,4,10
PI085010,4,8
PI085012,4,8
PI085014,4,8
PI085019,4,8
PI085021,4,8
PI085089,4,8
PI085252,4,8
PI085272,4,8
PI085340,4,8
PI085342,4,8
PI085355,4,8
PI085356,4,8
PI085407,4,8
PI085420,4,8
PI085420-1,4,10
PI085424,4,8
PI085437,4,8
PI085441,4,8
PI085456,4,8
PI085465,4,8
PI085469,3,8
PI085476,4,8
PI085490,3,8
PI085492,4,8
PI085505,4,8
PI085506,4,8
PI085508,4,8
PI085519,4,8
PI085550,4,8
PI085559,4,8
PI085590,4,8
PI085619,4,8
PI085624,4,8
PI085625,4,8
PI085626,4,8
PI085630,4,8
PI085658,4,8
PI085663,4,8
PI085665,4,8
PI085666,4,8
PI085666S,4,9
PI085668,4,8
PI085671,4,8
PI085878,3,8
PI085897,4,8
PI085903,4,8
PI086002,4,8
PI086004,3,8
PI086006,4,8
PI086007,4,8
PI086021,4,8
PI086022,4,8
PI086023,4,8
PI086024,4,8
PI086026,3,8
PI086026-1,4,10
PI086027,4,8
PI086028,3,8
PI086029,4,8
PI086031,4,8
PI086032,4,8
PI086038,4,8
PI086045,4,8
PI086045S,3,9
PI086046,3,8
PI086050,3,8
PI086053,4,8
PI086060,3,8
PI086062,3,8
PI086063,4,8
PI086069,3,8
PI086071,4,8
PI086073,4,8
PI086075,4,8
PI086078,4,8
PI086078-1,4,10
PI086081,4,8
PI086084,4,8
PI086089,4,8
PI086091,4,8
PI086091-1,4,10
PI086098,4,8
PI086102,4,8
PI086103,4,8
PI086109,4,8
PI086109B,4,9
PI086111,4,8
PI086112,4,8
PI086112-1,4,10
PI086113,4,8
PI086113S,4,9
PI086114,4,8
PI086115,4,8
PI086116,4,8
PI086122,4,8
PI086123,4,8
PI086128,4,8
PI086133,3,8
PI086134-1,4,10
PI086134-2,4,10
PI086134-3,4,10
PI086134-4,4,10
PI086136,4,8
PI086137,4,8
PI086137-1,4,10
PI086138,4,8
PI086138R,4,9
PI086142,4,8
PI086144,4,8
PI086145,4,8
PI086146,4,8
PI086150,4,8
PI086153,4,8
PI086154,4,8
PI086301,4,8
PI086410,4,8
PI086411,4,8
PI086416,4,8
PI086425,4,8
PI086443,4,8
PI086445,4,8
PI086449,4,8
PI086449-0,4,10
PI086449-2,4,10
PI086452,4,8
PI086454,4,8
PI086456,4,8
PI086457,4,8
PI086457-1,4,10
PI086463,4,8
PI086465,4,8
PI086469,4,8
PI086482,4,8
PI086482-1,4,10
PI086490,3,8
PI086490-2,4,10
PI086490-3,4,10
PI086490-4,4,10
PI086491,4,8
PI086502,4,8
PI086504,4,8
PI086510,4,8
PI086543,4,8
PI086737,4,8
PI086740,4,8
PI086741,4,8
PI086876,4,8
PI086878,4,8
PI086878-2,4,10
PI086892,4,8
PI086903-3,4,10
PI086903-4,4,10
PI086904,4,8
PI086904-1,4,10
PI086908,4,8
PI086972-1,4,10
PI086972-2,4,10
PI086978,4,8
PI086982,4,8
PI087002,3,8
PI087005,4,8
PI087011,4,8
PI087013,4,8
PI087026,4,8
PI087029,4,8
PI087037,4,8
PI087047,4,8
PI087059,4,8
PI087065,4,8
PI087074,4,8
PI087076,4,8
PI087165,4,8
PI087167,4,8
PI087457,4,8
PI087465-1,4,10
PI087465-2,4,10
PI087524,4,8
PI087525,4,8
PI087530,4,8
PI087531,4,8
PI087540,4,8
PI087542,4,8
PI087561,4,8
PI087571,4,8
PI087574,4,8
PI087575,4,8
PI087588,4,8
PI087600-1,4,10
PI087600-2,4,10
PI087614,4,8
PI087615,4,8
PI087617,4,8
PI087618,4,8
PI087619,4,8
PI087619-1,4,10
PI087620,4,8
PI087620-1,4,10
PI087622,4,8
PI087623,4,8
PI087628,4,8
PI087629,4,8
PI087630,4,8
PI087631,4,8
PI087631-1,4,10
PI087631-3,4,10
PI087632,4,8
PI087634,4,8
PI087968,4,8
PI088282,4,8
PI088287,4,8
PI088288,4,8
PI088289,4,8
PI088290,4,8
PI088291,4,8
PI088292,4,8
PI088293,4,8
PI088293A,4,9
PI088294,4,8
PI088294-1,4,10
PI088295,4,8
PI088295-1,4,10
PI088296,4,8
PI088297,4,8
PI088298,4,8
PI088300,4,8
PI088301,4,8
PI088302-1,4,10
PI088302-2,4,10
PI088303,4,8
PI088303-1,4,10
PI088304,4,8
PI088305,4,8
PI088306,4,8
PI088306-1,4,10
PI088307,4,8
PI088308,3,8
PI088309,4,8
PI088310,3,8
PI088311,4,8
PI088312,4,8
PI088313,4,8
PI088349,4,8
