acid,SMVG1
FC031745,5
FC033243,5
PI019986,1
PI054610,5
PI059849,5
PI062202,1
PI064747,5
PI069507,5
PI070013,5
PI071506,1
PI079797,5
PI079832,5
PI080479,5
PI080837,1
PI081041,5
PI082210,1
PI084594,1
PI084631,5
PI085424,5
PI085658,5
PI087074,5
PI088486,1
PI088492,5
PI088788,1
PI089061,1
PI089074,5
PI089772,1
PI090251,1
PI091082,5
PI091153,5
PI091346,5
PI092463,5
PI092651,5
PI092659,5
PI092713,5
PI092743,1
PI096118,5
PI096169,5
PI096983,1
PI097038,5
PI097235,1
PI104708,5
PI105579,5
PI148260,1
PI153292,5
PI153321,5
PI157395,5
PI157435,1
PI157445,5
PI158765,5
PI170380,5
PI170895,5
PI170896,1
PI171652,5
PI172902,5
PI179825,5
PI180501,5
PI189891,5
PI189926,5
PI189969,5
PI196162,5
PI200492,5
PI227555,1
PI230973,5
PI235339,1
PI235340,1
PI235344,1
PI235346,5
PI240664,5
PI264555,1
PI274421,5
PI283327,5
PI283330,5
PI283331,5
PI304218,5
PI319532,5
PI322693,5
PI323555,5
PI323556,5
PI346306,5
PI346307,5
PI346308,5
PI346309,5
PI355067,5
PI355068,5
PI355069,5
PI355070,5
PI371611,5
PI381659,1
PI398293,5
PI398697,1
PI398726,5
PI398752,1
PI404153,5
PI404154,5
PI404161,1
PI404163,5
PI404165,1
PI404170,1
PI406710,1
PI407733,1
PI407749,5
PI407752,5
PI407758,5
PI407763,5
PI407765,1
PI408026,5
PI408321,5
PI416807,1
PI416988,5
PI417005,1
PI417015,1
PI417071,1
PI417094,1
PI417243,1
PI417329,1
PI417361,5
PI417387,1
PI417423,1
PI417434,5
PI417457,5
PI417559,1
PI417567,5
PI417582,1
PI423929,5
PI424131,1
PI424550,5
PI437124,5
PI437338,5
PI437482,1
PI437710,1
PI438310,5
PI438312,5
PI438341,5
PI438427,5
PI438471,5
PI438477,5
PI458111,5
PI471931,5
PI471938,1
PI471942,5
PI476890,5
PI476917,5
PI476920,5
PI476922,5
PI476931,5
PI479722,5
PI483084,1
PI504481,1
PI504487,1
PI504488,1
PI504504,1
PI504510,5
PI506528,5
PI506592,5
PI506766,5
PI506769,5
PI506844,5
PI506883,5
PI507016,5
PI507439,1
PI507530,5
PI507690,1
PI508268,1
PI509044,5
PI518287,1
PI518671,5
PI518674,5
PI518729,5
PI543795,5
PI544354,5
PI547519,5
PI547643,1
PI547812,5
PI547827,5
PI547840,5
PI547843,5
PI547844,1
PI547851,1
PI547857,1
PI547873,1
PI547884,5
PI547885,1
PI547891,5
PI547892,5
PI548262,5
PI548302,5
PI548304,5
PI548311,5
PI548318,5
PI548325,5
PI548340,5
PI548348,5
PI548352,5
PI548356,5
PI548360,5
PI548362,5
PI548364,5
PI548365,5
PI548378,5
PI548379,5
PI548382,5
PI548383,5
PI548388,5
PI548391,1
PI548400,5
PI548402,1
PI548406,5
PI548422,1
PI548427,1
PI548438,5
PI548444,5
PI548445,1
PI548456,1
PI548460,5
PI548461,5
PI548463,5
PI548466,5
PI548469,5
PI548477,1
PI548480,5
PI548484,5
PI548485,5
PI548488,5
PI548490,5
PI548493,1
PI548587,5
PI548603,5
PI548609,5
PI548625,5
PI548627,1
PI548631,5
PI548653,1
PI548657,5
PI548667,5
PI548977,1
PI548980,1
PI553038,1
PI553039,1
PI553043,5
PI553052,5
PI578368,5
PI578486,5
PI591513,1
PI591515,1
PI591516,1
PI603167,1
PI603395,5
PI603497,5
PI615694,1
PI633736,5
PI159923B,1
PI355067S,5
PI360955B,5
PI404173A,5
PI417135A,5
PI417345A,1
PI438435A,5
PI507189A,1
PI567528A,5
PI567541A,5
PI054610-1,5
PI054610-4,5
PI080828-1,5
PI080834-1,5
PI084946-1,5
PI092718-2,1
