acid,SMVG6,
PI019986,5,8
PI059849,1,8
PI062199,1,8
PI062202,1,8
PI064747,5,8
PI069507,5,8
PI070013,5,8
PI079797,5,8
PI079832,5,8
PI080479,5,8
PI080837,5,8
PI082210,5,8
PI084594,1,8
PI085424,5,8
PI085658,5,8
PI087074,5,8
PI088486,1,8
PI088492,5,8
PI089061,5,8
PI089074,5,8
PI089772,1,8
PI090251,5,8
PI090402,1,8
PI091082,5,8
PI091153,5,8
PI091346,1,8
PI092463,5,8
PI092651,5,8
PI092659,5,8
PI092713,5,8
PI092743,5,8
PI096118,5,8
PI096169,5,8
PI096983,1,8
PI097038,5,8
PI097235,1,8
PI103079,1,8
PI104708,5,8
PI105579,5,8
PI148260,1,8
PI153292,5,8
PI153309,1,8
PI153321,5,8
PI157395,5,8
PI157435,1,8
PI157445,5,8
PI158765,5,8
PI170380,5,8
PI170895,5,8
PI170896,5,8
PI171652,5,8
PI172902,5,8
PI179825,1,8
PI189891,1,8
PI189926,5,8
PI189969,5,8
PI196162,5,8
PI229738,1,8
PI230973,5,8
PI235346,5,8
PI274421,5,8
PI283327,5,8
PI283330,5,8
PI283331,5,8
PI283332,1,8
PI304218,5,8
PI319532,5,8
PI322693,5,8
PI323555,1,8
PI323556,1,8
PI346306,5,8
PI346307,1,8
PI346308,1,8
PI346309,5,8
PI355067,5,8
PI355068,5,8
PI355069,5,8
PI355070,5,8
PI371611,5,8
PI381659,5,8
PI381668,1,8
PI398293,5,8
PI398697,5,8
PI398726,5,8
PI398752,5,8
PI404153,5,8
PI404154,5,8
PI404159,5,8
PI404163,5,8
PI404164,5,8
PI404170,5,8
PI404172,1,8
PI407733,1,8
PI407749,5,8
PI407752,5,8
PI407758,5,8
PI407763,5,8
PI407765,1,8
PI408026,5,8
PI408321,5,8
PI416807,5,8
PI416988,5,8
PI417094,1,8
PI417243,1,8
PI417329,1,8
PI417361,5,8
PI417380,5,8
PI417434,5,8
PI417457,5,8
PI417567,5,8
PI417578,1,8
PI417582,5,8
PI423929,5,8
PI424131,1,8
PI424550,5,8
PI436563,1,8
PI437124,5,8
PI437338,5,8
PI437482,1,8
PI437710,1,8
PI438310,5,8
PI438312,5,8
PI438335,1,8
PI438341,5,8
PI438427,1,8
PI458111,5,8
PI471931,5,8
PI471938,1,8
PI471942,5,8
PI476890,5,8
PI476917,5,8
PI476920,5,8
PI476922,5,8
PI476931,5,8
PI479722,5,8
PI483084,1,8
PI504510,1,8
PI506528,5,8
PI506592,5,8
PI506766,5,8
PI506769,5,8
PI506844,5,8
PI506883,5,8
PI507016,5,8
PI507439,1,8
PI507530,5,8
PI507690,5,8
PI508268,5,8
PI509044,5,8
PI518674,5,8
PI518729,5,8
PI543795,5,8
PI544354,5,8
PI547519,5,8
PI547643,1,8
PI547812,5,8
PI547827,5,8
PI547840,5,8
PI547843,5,8
PI547844,1,8
PI547851,1,8
PI547884,5,8
PI547891,5,8
PI547892,5,8
PI548262,5,8
PI548304,5,8
PI548318,5,8
PI548340,5,8
PI548348,5,8
PI548383,5,8
PI548388,5,8
PI548460,5,8
PI548466,5,8
PI548469,5,8
PI548477,1,8
PI548493,1,8
PI548587,5,8
PI548609,5,8
PI548625,5,8
PI548627,5,8
PI548631,5,8
PI548653,5,8
PI548667,5,8
PI548977,1,8
PI548980,1,8
PI553038,5,8
PI553039,5,8
PI553043,5,8
PI553052,5,8
PI578368,5,8
PI578486,5,8
PI603167,5,8
PI603395,5,8
PI603497,5,8
PI633736,5,8
PI159923B,5,9
PI355067S,5,9
PI404173A,5,9
PI417135A,5,9
PI438435A,5,9
PI507189A,5,9
PI567528A,5,9
PI080828-1,5,10
PI080834-1,5,10
PI084946-1,5,10
PI092718-2,5,10
