acid,bpmvall,
FC031745,5,8
FC033243,5,8
PI030594,5,8
PI036653,5,8
PI047131,5,8
PI054583,5,8
PI054610,5,8
PI055887,5,8
PI056563,5,8
PI057334,5,8
PI058955,5,8
PI059849,5,8
PI060272,5,8
PI061944,5,8
PI062483,5,8
PI063271,5,8
PI064747,5,8
PI065338,5,8
PI068410,5,8
PI069507,5,8
PI070009,5,8
PI071161,5,8
PI071506,5,8
PI072227,5,8
PI073587,5,8
PI078243,5,8
PI079583,5,8
PI080459,5,8
PI080837,5,8
PI081023,5,8
PI081041,5,8
PI082184,5,8
PI083868,5,8
PI084509,5,8
PI084631,5,8
PI086006,5,8
PI087575,5,8
PI088788,5,8
PI090486,5,8
PI091126,5,8
PI092583,5,8
PI093055,5,8
PI094159,5,8
PI095801,5,8
PI096195,5,8
PI096199,5,8
PI096201,5,8
PI096280,5,8
PI096321,5,8
PI096333,5,8
PI096549,5,8
PI096550,5,8
PI096783,5,8
PI096787,5,8
PI096808,5,8
PI096927,5,8
PI096978,5,8
PI096983,5,8
PI096984,5,8
PI097038,5,8
PI097139,5,8
PI097155,5,8
PI097220,5,8
PI097222,5,8
PI097225,5,8
PI097235,5,8
PI097605,5,8
PI097627,5,8
PI098243,5,8
PI103080,5,8
PI103088,5,8
PI103091,5,8
PI103414,5,8
PI103415,5,8
PI104708,5,8
PI105579,5,8
PI131531,5,8
PI132201,5,8
PI132203,5,8
PI132204,5,8
PI132205,5,8
PI132206,5,8
PI132207,5,8
PI132214,5,8
PI132215,5,8
PI135589,5,8
PI135590,5,8
PI142491,5,8
PI151249,5,8
PI152361,5,8
PI153203,5,8
PI153208,5,8
PI153209,5,8
PI153210,5,8
PI153211,5,8
PI153212,5,8
PI153213,5,8
PI153214,5,8
PI153215,5,8
PI153216,5,8
PI153217,5,8
PI153218,5,8
PI153219,5,8
PI153221,5,8
PI153222,5,8
PI153223,5,8
PI153225,5,8
PI153226,5,8
PI153227,5,8
PI153229,5,8
PI153230,5,8
PI153231,5,8
PI153233,5,8
PI153234,5,8
PI153235,5,8
PI153236,5,8
PI153237,5,8
PI153238,5,8
PI153239,5,8
PI153240,5,8
PI153241,5,8
PI153242,5,8
PI153243,5,8
PI153244,5,8
PI153245,5,8
PI153246,5,8
PI153247,5,8
PI153249,5,8
PI153250,5,8
PI153251,5,8
PI153252,5,8
PI153253,5,8
PI153255,5,8
PI153259,5,8
PI153261,5,8
PI153262,5,8
PI153263,5,8
PI153264,5,8
PI153265,5,8
PI153266,5,8
PI153267,5,8
PI153270,5,8
PI153271,5,8
PI153272,5,8
PI153273,5,8
PI153274,5,8
PI153275,5,8
PI153276,5,8
PI153277,5,8
PI153279,5,8
PI153280,5,8
PI153281,5,8
PI153282,5,8
PI153283,5,8
PI153284,5,8
PI153285,5,8
PI153286,5,8
PI153287,5,8
PI153288,5,8
PI153289,5,8
PI153290,5,8
PI153291,5,8
PI153292,5,8
PI153294,5,8
PI153296,5,8
PI153297,5,8
PI153299,5,8
PI153300,5,8
PI153303,5,8
PI153304,5,8
PI153305,5,8
PI153306,5,8
PI153308,5,8
PI153309,5,8
PI153310,5,8
PI153311,5,8
PI153313,5,8
PI153314,5,8
PI153315,5,8
PI153318,5,8
PI153319,5,8
PI154189,5,8
PI154190,5,8
PI154193,5,8
PI157398,5,8
PI157439,5,8
PI158765,5,8
PI159764,5,8
PI161988,5,8
PI167240,5,8
PI167277,5,8
PI170380,5,8
PI172901,5,8
PI173995,5,8
PI179822,5,8
PI180501,5,8
PI180516,5,8
PI181531,5,8
PI181532,5,8
PI184047,5,8
PI187153,5,8
PI189857,5,8
PI194625,5,8
PI196148,5,8
PI198067,5,8
PI200445,5,8
PI200458,5,8
PI200492,5,8
PI204652,5,8
PI205092,5,8
PI209332,5,8
PI219782,5,8
PI224271,5,8
PI226588,5,8
PI227213,5,8
PI228064,5,8
PI229312,5,8
PI231172,5,8
PI232899,5,8
PI235335,5,8
PI235346,5,8
PI238926,5,8
PI240079,5,8
PI240664,5,8
PI243533,5,8
PI246366,5,8
PI248400,5,8
PI250844,5,8
PI251586,5,8
PI257431,5,8
PI258387,5,8
PI261466,5,8
PI262181,5,8
PI264555,5,8
PI274206,5,8
PI281850,5,8
PI283330,5,8
PI290128,5,8
PI304218,5,8
PI317333,5,8
PI323556,5,8
PI326580,5,8
PI340015,5,8
PI358320,5,8
PI360835,5,8
PI360844,5,8
PI385942,5,8
PI417159,5,8
PI423888,5,8
PI437962,5,8
PI438471,5,8
PI438477,5,8
PI483084,4,8
PI486355,5,8
PI499955,5,8
PI499957,5,8
PI506675,5,8
PI507079,4,8
PI507327,4,8
PI507389,5,8
PI508266,4,8
PI508268,5,8
PI518664,4,8
PI518716,4,8
PI547843,4,8
PI547844,4,8
PI547857,4,8
PI547873,4,8
PI547885,4,8
PI548298,5,8
PI548302,5,8
PI548311,5,8
PI548317,4,8
PI548318,5,8
PI548325,5,8
PI548348,5,8
PI548352,5,8
PI548356,5,8
PI548360,5,8
