acid,bsrall
PI594394,0
PI594397B,0
PI594488,0
PI594500A,0
PI594500C,0
PI594500D,0
PI594502,0
PI594511B,0
PI594511C,0
PI594512A,0
PI594557A,0
PI594558,0
PI594560A,0
PI594562A,0
PI594567C,0
PI594570A,0
PI594570B,0
PI594585,0
PI594586A,0
PI594586C,0
PI594591A,0
PI594592,0
PI594600,0
PI594603B,0
PI594604,0
PI594615,0
PI594618A,0
PI594620,0
PI594626,0
PI594629,0
PI594634,0
PI594636,0
PI594637,0
PI594638A,0
PI594638B,0
PI594639,0
PI594644B,0
PI594646,0
PI594649,0
PI594650A,0
PI594652B,0
PI594660A,0
PI594666A,0
PI594670D,0
PI594674C,0
PI594708A,0
PI594738A,0
PI594738B,0
PI594739B,0
PI594758A,0
PI594792B,0
PI594805A,0
PI594806,0
PI594808,0
PI594820A,0
PI594834A,0
PI594843,0
PI594858B,0
PI594880,0
PI594882B,0
PI594884,0
PI594885A,0
PI594411,0
PI594451,0
PI594492A,0
PI594576,0
PI594641,0
PI594792A,0
PI567296B,0.01
PI612344,0.01
PI437833,0.02
PI594393,0.029
PI594842,0.029
PI567323A,0.03
PI594475B,0.033
PI594616,0.033
PI594501A,0.04
PI567479,0.05
PI594500B,0.05
PI594834B,0.054
PI594609,0.057
PI567544,0.06
PI594689,0.062
PI594495,0.067
PI594610,0.067
PI567333A,0.07
PI567552,0.07
PI594670B,0.072
PI594648B,0.073
PI594645,0.078
PI437970,0.08
PI594589,0.08
PI594595,0.08
PI594799A,0.08
PI594814,0.08
PI567535B,0.09
PI567546,0.09
PI594845,0.095
PI567542,0.1
PI594805B,0.107
PI594397A,0.107
PI567523,0.11
PI567609,0.11
PI594820B,0.111
PI594622,0.113
PI594800,0.113
PI594867,0.113
PI594509A,0.123
PI567381A,0.14
PI567591,0.14
PI567615,0.14
PI594866,0.142
PI594584,0.147
PI594683C,0.147
PI594685A,0.147
PI594803A,0.147
PI594710,0.149
PI567618A,0.15
PI594859,0.152
PI594807B,0.153
PI594829,0.153
PI594790C,0.157
PI594417,0.163
PI594556,0.167
PI594659A,0.167
PI594682B,0.167
