acid,bsrcode491584
PI437833,1
PI594394,1
PI594397B,1
PI594488,1
PI594500A,1
PI594500C,1
PI594500D,1
PI594502,1
PI594511B,1
PI594511C,1
PI594512A,1
PI594557A,1
PI594558,1
PI594560A,1
PI594562A,1
PI594567C,1
PI594570A,1
PI594570B,1
PI594585,1
PI594586A,1
PI594586C,1
PI594591A,1
PI594592,1
PI594600,1
PI594603B,1
PI594604,1
PI594615,1
PI594618A,1
PI594620,1
PI594626,1
PI594629,1
PI594634,1
PI594636,1
PI594637,1
PI594638A,1
PI594638B,1
PI594639,1
PI594644B,1
PI594646,1
PI594649,1
PI594650A,1
PI594652B,1
PI594660A,1
PI594666A,1
PI594670D,1
PI594674C,1
PI594708A,1
PI594738A,1
PI594738B,1
PI594739B,1
PI594758A,1
PI594792B,1
PI594805A,1
PI594806,1
PI594808,1
PI594820A,1
PI594834A,1
PI594843,1
PI594858B,1
PI594880,1
PI594882B,1
PI594884,1
PI594885A,1
PI594411,1
PI594451,1
PI594492A,1
PI594576,1
PI594641,1
PI594792A,1
PI612344,1
PI594401A,5
PI594401B,5
PI594401C,5
PI594401D,5
PI594402,5
PI594404,5
PI594405,5
PI594407,5
PI594409B,5
PI594392,5
PI594393,5
PI594398A,5
PI594398B,5
PI594399C,5
PI594400,5
PI594401E,5
PI594406,5
PI594408,5
PI594409A,5
PI594410,5
PI594412,5
PI594414A,5
PI594414B,5
PI594415A,5
PI594415B,5
PI594416,5
PI594418A,5
PI594418B,5
PI594418C,5
PI594418E,5
PI594419,5
PI594420,5
PI594422,5
PI594423,5
PI594424,5
PI594425,5
PI594426A,5
PI594426B,5
PI594427A,5
PI594427B,5
PI594427C,5
PI594428,5
PI594430A,5
PI594430B,5
PI594430C,5
PI594430D,5
PI594431,5
PI594432,5
PI594433A,5
PI594433B,5
PI594433C,5
PI594434,5
PI594436,5
PI594438,5
PI594439A,5
PI594439B,5
PI594440,5
PI594441,5
PI594442A,5
PI594442B,5
PI594443,5
PI594444A,5
PI594444B,5
PI594445,5
PI594446,5
PI594447,5
PI594448A,5
PI594448B,5
PI594449,5
PI594450,5
PI594452,5
PI594453,5
PI594454A,5
PI594454B,5
PI594455A,5
PI594455B,5
PI594456A,5
PI594456B,5
PI594457A,5
PI594457B,5
PI594458A,5
PI594458B,5
PI594459,5
PI594460,5
PI594461A,5
PI594461B,5
PI594462,5
PI594463A,5
PI594463B,5
PI594464,5
PI594466,5
PI594467,5
PI594468,5
PI594469A,5
PI594469B,5
PI594470A,5
PI594470B,5
PI594470C,5
PI594471A,5
PI594471B,5
PI594471C,5
PI594471D,5
PI594471E,5
PI594473,5
PI594474,5
PI594475A,5
PI594475B,5
PI594476,5
PI594477,5
PI594478,5
PI594479,5
PI594480A,5
PI594480B,5
PI594480C,5
PI594481,5
PI594482,5
PI594483,5
PI594484,5
PI594485,5
PI594486A,5
PI594486B,5
PI594486C,5
PI594487,5
PI594489,5
PI594491,5
PI594493,5
PI594494A,5
PI594494B,5
PI594495,5
PI594496,5
PI594498A,5
PI594498B,5
PI594499,5
PI594500B,5
PI594501A,5
PI594501B,5
PI594503,5
PI594505A,5
PI594505B,5
PI594507,5
PI594508,5
PI594509A,5
PI594510A,5
PI594510B,5
PI594511A,5
PI594512B,5
PI594512C,5
PI594512D,5
PI594513,5
PI594515,5
PI594547,5
PI594548,5
PI594549A,5
PI594549B,5
PI594549C,5
PI594550,5
PI594551,5
PI594553,5
PI594555A,5
PI594555B,5
PI594556,5
PI594557B,5
PI594561,5
PI594564,5
PI594567A,5
PI594567B,5
PI594567D,5
PI594568A,5
PI594568B,5
PI594568C,5
PI594572A,5
PI594572B,5
PI594574,5
PI594577,5
PI594578,5
PI594579,5
PI594580,5
PI594581,5
PI594582,5
PI594583,5
PI594584,5
PI594586B,5
PI594587,5
PI594588,5
PI594589,5
PI594590,5
PI594591B,5
PI594593,5
PI594594,5
PI594595,5
PI594596,5
PI594599,5
PI594601,5
PI594602,5
PI594603A,5
PI594605A,5
PI594605B,5
PI594606,5
PI594607,5
PI594608A,5
PI594608B,5
PI594609,5
PI594610,5
PI594611,5
PI594612,5
PI594613,5
PI594614A,5
PI594614B,5
PI594616,5
PI594617,5
PI594618B,5
PI594618C,5
PI594618D,5
PI594619,5
PI594622,5
PI594623,5
PI594624,5
PI594625,5
PI594627A,5
PI594627B,5
PI594628,5
PI594630,5
PI594631A,5
PI594631B,5
PI594632,5
PI594633,5
PI594635A,5
PI594635B,5
PI594635C,5
PI594635D,5
PI594645,5
PI594648A,5
PI594648B,5
PI594650B,5
PI594652A,5
PI594653,5
PI594654,5
PI594655,5
PI594656,5
PI594657,5
PI594658,5
PI594659A,5
PI594659B,5
PI594659C,5
PI594660B,5
PI594660C,5
PI594660D,5
PI594661,5
PI594662A,5
PI594662B,5
PI594663,5
PI594664,5
PI594665,5
PI594666B,5
PI594667,5
PI594668,5
PI594669,5
PI594670A,5
PI594670B,5
PI594670C,5
PI594671,5
PI594672,5
PI594673,5
PI594674A,5
PI594674B,5
PI594675,5
PI594676,5
PI594677,5
PI594678,5
PI594679,5
PI594680,5
PI594681,5
PI594682A,5
PI594682B,5
PI594683A,5
PI594683B,5
PI594683C,5
PI594685A,5
PI594685B,5
PI594686,5
PI594687,5
PI594688,5
PI594689,5
PI594690A,5
PI594690B,5
PI594691,5
PI594692,5
PI594693A,5
PI594693B,5
PI594694,5
PI594695,5
PI594696A,5
PI594696B,5
PI594697,5
PI594698,5
PI594699,5
PI594700A,5
PI594700B,5
PI594701,5
PI594702,5
PI594703,5
PI594704,5
PI594705,5
PI594706,5
PI594707,5
PI594708B,5
PI594709,5
PI594710,5
PI594711A,5
PI594711B,5
PI594712,5
PI594713,5
PI594714,5
PI594717A,5
PI594717B,5
PI594719,5
PI594736,5
PI594739A,5
PI594740A,5
PI594740B,5
PI594740C,5
PI594751A,5
PI594751B,5
PI594751C,5
PI594753A,5
PI594753C,5
PI594756,5
PI594758B,5
PI594758C,5
PI594759A,5
PI594759B,5
PI594759C,5
PI594759D,5
PI594760A,5
PI594761,5
PI594766,5
PI594774,5
PI594776,5
PI594777,5
PI594778,5
PI594779,5
PI594780,5
PI594781,5
PI594782,5
PI594784A,5
PI594784B,5
PI594785,5
PI594790A,5
PI594791,5
PI594793,5
PI594794A,5
PI594795,5
PI594796,5
PI594797,5
PI594798,5
PI594799A,5
PI594799B,5
PI594800,5
PI594801A,5
PI594801B,5
PI594802A,5
PI594802B,5
PI594802C,5
PI594803B,5
PI594804,5
PI594805B,5
PI594807A,5
PI594807B,5
PI594809A,5
PI594809B,5
PI594810A,5
PI594810B,5
PI594812,5
PI594814,5
PI594816,5
PI594817,5
PI594818,5
PI594819,5
PI594820B,5
PI594820C,5
PI594821A,5
PI594821B,5
PI594823,5
PI594825,5
PI594826A,5
PI594828A,5
PI594828B,5
PI594829,5
PI594831,5
PI594832A,5
PI594832B,5
PI594833,5
PI594834B,5
PI594835A,5
PI594835B,5
PI594836,5
PI594839A,5
PI594842,5
PI594844,5
PI594845,5
PI594847,5
PI594853,5
PI594854,5
PI594856,5
PI594857,5
PI594858A,5
PI594859,5
PI594860,5
PI594861,5
PI594862,5
PI594866,5
PI594867,5
PI594868,5
PI594870,5
PI594872,5
PI594873,5
PI594874,5
PI594875A,5
PI594875B,5
PI594877,5
PI594878,5
PI594879,5
PI594881,5
PI594883,5
PI594886,5
PI594887,5
PI594888,5
PI594889,5
PI594890,5
PI594397A,5
PI594399A,5
PI594403,5
PI594413,5
PI594417,5
PI594421,5
PI594430E,5
PI594437,5
PI594490,5
PI594492B,5
PI594651,5
PI594640,5
PI594642,5
PI594643,5
PI594644A,5
PI594803A,5
PI594871,5
PI594885B,5
PI594418D,5
PI594429,5
PI594573,5
PI594770B,5
PI594790C,5
PI594794B,5
PI594802D,5
PI594846,5
PI548529,5
