acid,bsrcodeall,
PI068621,1,8
PI068710,1,8
PI070076,1,8
PI070515,1,8
PI086144,1,8
PI086150,1,8
PI087619,1,8
PI088818,5,8
PI090573,1,8
PI196157,1,8
PI398311,1,8
PI398755,1,8
PI398930,1,8
PI416862,1,8
PI424353,1,8
PI424373,1,8
PI427138,1,8
PI437327,1,8
PI437366,1,8
PI437497,1,8
PI437570,1,8
PI437833,1,8
PI437900,1,8
PI437936,1,8
PI437970,1,8
PI438222,1,8
PI518669,5,8
PI534645,5,8
PI534646,5,8
PI548512,5,8
PI548519,1,8
PI548521,1,8
PI548525,1,8
PI548526,5,8
PI548529,5,8
PI548534,5,8
PI548542,5,8
PI548557,5,8
PI548581,5,8
PI548582,5,8
PI548635,1,8
PI567291,5,8
PI567293,5,8
PI567294,5,8
PI567297,5,8
PI567302,5,8
PI567304,5,8
PI567305,5,8
PI567307,5,8
PI567313,5,8
PI567317,5,8
PI567318,5,8
PI567324,5,8
PI567327,5,8
PI567330,5,8
PI567331,5,8
PI567337,5,8
PI567341,5,8
PI567348,5,8
PI567353,5,8
PI567354,5,8
PI567357,5,8
PI567358,5,8
PI567359,5,8
PI567360,5,8
PI567361,5,8
PI567364,5,8
PI567365,5,8
PI567367,5,8
PI567368,5,8
PI567374,5,8
PI567387,5,8
PI567395,5,8
PI567398,5,8
PI567416,5,8
PI567420,5,8
PI567421,5,8
PI567422,5,8
PI567423,5,8
PI567426,5,8
PI567427,5,8
PI567428,5,8
PI567430,5,8
PI567431,5,8
PI567434,5,8
PI567436,5,8
PI567437,5,8
PI567438,5,8
PI567440,5,8
PI567442,5,8
PI567443,5,8
PI567444,5,8
PI567446,5,8
PI567448,5,8
PI567449,5,8
PI567450,5,8
PI567451,5,8
PI567452,5,8
PI567453,5,8
PI567454,5,8
PI567455,5,8
PI567456,5,8
PI567457,5,8
PI567458,5,8
PI567460,5,8
PI567461,5,8
PI567462,5,8
PI567463,5,8
PI567464,5,8
PI567465,5,8
PI567467,5,8
PI567468,5,8
PI567470,5,8
PI567471,5,8
PI567474,5,8
PI567475,5,8
PI567476,5,8
PI567477,5,8
PI567478,5,8
PI567479,1,8
PI567481,5,8
PI567484,5,8
PI567485,5,8
PI567487,5,8
PI567490,5,8
PI567492,5,8
PI567493,5,8
PI567494,5,8
PI567496,5,8
PI567497,5,8
PI567498,5,8
PI567499,5,8
PI567500,5,8
PI567501,5,8
PI567502,5,8
PI567503,5,8
PI567504,5,8
PI567505,5,8
PI567506,5,8
PI567509,5,8
PI567511,2,8
PI567513,5,8
PI567515,5,8
PI567518,5,8
PI567519,5,8
PI567523,1,8
PI567524,5,8
PI567525,5,8
PI567526,5,8
PI567527,5,8
PI567529,5,8
PI567530,5,8
PI567531,5,8
PI567532,5,8
PI567533,5,8
PI567534,5,8
PI567536,5,8
PI567537,5,8
PI567539,5,8
PI567542,1,8
PI567544,1,8
PI567545,2,8
PI567546,1,8
PI567547,5,8
PI567548,5,8
PI567550,5,8
PI567551,5,8
PI567552,1,8
PI567555,5,8
PI567556,5,8
PI567557,5,8
PI567558,5,8
PI567559,5,8
PI567560,5,8
PI567561,5,8
PI567564,5,8
PI567565,5,8
PI567566,5,8
PI567567,5,8
PI567569,5,8
PI567570,5,8
PI567571,2,8
PI567575,5,8
PI567576,5,8
PI567577,5,8
PI567579,5,8
PI567581,5,8
PI567584,5,8
PI567589,5,8
PI567591,2,8
PI567592,5,8
PI567596,5,8
PI567599,5,8
PI567600,5,8
PI567601,5,8
PI567605,5,8
PI567606,5,8
PI567608,5,8
PI567609,1,8
PI567611,5,8
PI567612,5,8
PI567615,1,8
PI567616,5,8
PI567619,5,8
PI567622,5,8
PI567623,5,8
PI567624,5,8
PI567626,5,8
PI567631,5,8
PI567633,5,8
PI567636,5,8
PI567637,5,8
PI567638,5,8
PI567639,5,8
PI567640,5,8
PI567641,5,8
PI567643,5,8
PI567644,5,8
PI567649,5,8
PI567651,5,8
PI567652,5,8
PI567653,5,8
PI567654,5,8
PI567655,5,8
PI567656,5,8
PI567658,5,8
PI567659,5,8
PI567662,5,8
PI567663,5,8
PI567664,5,8
PI567665,5,8
PI567666,5,8
PI567668,5,8
PI567669,5,8
PI567672,5,8
PI567674,5,8
PI567675,5,8
PI567677,5,8
PI567678,5,8
PI567681,5,8
PI567685,5,8
PI567686,5,8
PI567687,5,8
PI567689,5,8
PI567690,5,8
PI567691,5,8
PI567692,5,8
PI567693,5,8
PI567694,5,8
PI567695,5,8
PI567697,5,8
