acid,crdr,
FC004007B,4,9
PI060272,2,8
PI061944,5,8
PI061947,4,8
PI062202,5,8
PI063945,4,8
PI068508,5,8
PI068522,4,8
PI068600,5,8
PI068658,4,8
PI071461,5,8
PI072232,4,8
PI080461,5,8
PI080471,5,8
PI081027,4,8
PI083940,5,8
PI084578,4,8
PI084579,5,8
PI084581,4,8
PI086050,5,8
PI086425,4,8
PI086445,5,8
PI086449,5,8
PI087540,5,8
PI087574,5,8
PI087614,5,8
PI087615,5,8
PI087617,4,8
PI087618,5,8
PI087619,4,8
PI088295,5,8
PI088306,5,8
PI088310,5,8
PI088815,5,8
PI088823,4,8
PI090392,5,8
PI090463,4,8
PI090486,2,8
PI090499,4,8
PI091091,5,8
PI091340,5,8
PI091341,5,8
PI091343,4,8
PI091346,4,8
PI091349,4,8
PI189896,5,8
PI189930,5,8
PI200453,4,8
PI200457,5,8
PI200458,4,8
PI200471,5,8
PI200473,5,8
PI221717,2,8
PI227333,5,8
PI227557,4,8
PI261474,5,8
PI283331,5,8
PI297515,4,8
PI297544,5,8
PI358314,5,8
PI360847,5,8
PI361064,5,8
PI370059,4,8
PI384471,4,8
PI384474,4,8
PI391583,5,8
PI391594,4,8
PI393535,5,8
PI393537,5,8
PI393538,5,8
PI398395,4,8
PI398416,5,8
PI398451,4,8
PI398494,5,8
PI398831,4,8
PI398832,4,8
PI398833,5,8
PI398841,5,8
PI398859,5,8
PI398976,5,8
PI398980,5,8
PI398989,5,8
PI398992,5,8
PI398993,5,8
PI399044,4,8
PI399045,5,8
PI399068,5,8
PI404157,5,8
PI407710,5,8
PI407720,5,8
PI407730,4,8
PI407849,5,8
PI407850,5,8
PI407851,5,8
PI407933,5,8
PI408005,5,8
PI408250,4,8
PI408337,5,8
PI408339,5,8
PI416753,5,8
PI416763,5,8
PI416789,4,8
PI416793,5,8
PI416817,4,8
PI416832,5,8
PI416833,5,8
PI416852,5,8
PI416870,5,8
PI416889,5,8
PI416898,5,8
PI416918,5,8
PI416943,5,8
PI417017,4,8
