acid,saltreact,
FC003659,5,8
FC003981,5,8
FC030265,3,8
FC030267,3,8
FC030282,3,8
FC030967,5,8
FC031416,3,8
FC031572,3,8
FC031592,3,8
FC031622,3,8
FC031649,3,8
FC031665,5,8
FC031676,3,8
FC031677,5,8
FC031683,3,8
FC031689,5,8
FC031700,5,8
FC031707,3,8
FC031709,5,8
FC031719,3,8
FC031721,5,8
FC031731,3,8
FC031732,5,8
FC031737,3,8
FC031744,5,8
FC031745,5,8
FC031750,5,8
FC031918,5,8
FC031919,3,8
FC031921,5,8
FC031927,5,8
FC031933,3,8
FC031934,5,8
FC031935,5,8
FC031943,3,8
FC031952,5,8
FC032175,5,8
FC032176,3,8
FC033123,3,8
PI036906,5,8
PI054610,5,8
PI055089,5,8
PI059845,5,8
PI060269,3,8
PI060273,3,8
PI060296,5,8
PI065342,5,8
PI071558,3,8
PI071564,3,8
PI071570,5,8
PI071667,5,8
PI071677,3,8
PI079825,5,8
PI079832,3,8
PI079861,5,8
PI079862,5,8
PI080468,5,8
PI080476,5,8
PI080498,5,8
PI081029,5,8
PI081037,3,8
PI081042,5,8
PI081774,5,8
PI082286,5,8
PI082312,5,8
PI082588,5,8
PI083836,5,8
PI083874,3,8
PI083942,5,8
PI084642,5,8
PI084669,5,8
PI084734,5,8
PI084874,5,8
PI084910,5,8
PI084949,5,8
PI084967,5,8
PI085010,5,8
PI085089,5,8
PI085252,5,8
PI085342,5,8
PI085416,5,8
PI085465,5,8
PI085476,5,8
PI085490,5,8
PI085897,3,8
PI086078,5,8
PI086084,5,8
PI086091,5,8
PI086109,5,8
PI086465,5,8
PI086490,5,8
PI086892,5,8
PI086904,5,8
PI086982,5,8
PI087002,5,8
PI087037,5,8
PI087076,5,8
PI087565,5,8
PI087968,5,8
PI088461,5,8
PI088490,5,8
PI088820,5,8
PI089061,5,8
PI089469,5,8
PI089775,5,8
PI090243,5,8
PI090251,5,8
PI090406,5,8
PI090495,3,8
PI090499,5,8
PI090577,5,8
PI090768,3,8
PI091100,5,8
PI091646,5,8
PI091725,5,8
PI092567,5,8
PI092601,5,8
PI094159,3,8
PI095780,5,8
PI095860,3,8
PI095959,5,8
PI095960,5,8
PI095969,3,8
PI096035,5,8
PI096089,5,8
PI096169,5,8
PI096257,5,8
PI096354,3,8
PI096786,5,8
PI096983,5,8
PI097066,5,8
PI097081,5,8
PI097094,5,8
PI097100,5,8
PI097150,5,8
PI097161,5,8
PI103079,3,8
PI123439,5,8
PI123440,5,8
PI123587,5,8
PI123590,5,8
PI133226,3,8
PI145079,5,8
PI148259,5,8
PI148260,5,8
PI153681,3,8
PI153682,5,8
PI157394,5,8
PI157413,3,8
PI157432,5,8
PI157444,5,8
PI157451,5,8
PI157469,5,8
PI157470,5,8
PI157473,5,8
PI157475,5,8
PI157476,5,8
PI157478,5,8
PI157484,5,8
PI157488,3,8
PI157493,5,8
PI158751,5,8
PI159093,5,8
PI159094,5,8
PI159095,3,8
PI159096,5,8
PI159097,5,8
PI159319,5,8
PI159321,5,8
PI159322,5,8
PI159922,5,8
PI159924,3,8
PI159925,3,8
PI159926,5,8
PI159927,3,8
PI164885,3,8
PI165563,5,8
PI165578,5,8
PI165583,5,8
PI165671,3,8
PI165672,5,8
PI165673,5,8
PI165674,5,8
PI165675,3,8
PI165676,3,8
PI165896,5,8
PI165914,5,8
PI165926,5,8
PI165929,5,8
PI165943,5,8
PI165947,5,8
PI165989,5,8
PI166028,5,8
PI166032,5,8
PI166048,5,8
PI166105,5,8
PI166140,5,8
PI166141,5,8
PI166147,5,8
PI170886,5,8
PI170887,5,8
PI170888,5,8
PI170889,5,8
PI170890,5,8
PI170891,5,8
PI170892,5,8
PI170893,5,8
PI170895,5,8
PI170899,5,8
PI171436,5,8
PI171437,3,8
PI171438,5,8
PI171439,3,8
PI171440,3,8
PI171441,3,8
PI171442,3,8
PI171443,5,8
PI171444,3,8
PI171445,5,8
PI171446,5,8
PI171451,5,8
PI172902,5,8
PI174853,5,8
PI174854,5,8
PI174855,5,8
PI174856,5,8
PI174857,5,8
PI174858,5,8
PI174859,3,8
PI174860,3,8
PI174861,3,8
PI174862,5,8
PI174863,5,8
PI174866,5,8
PI174867,5,8
PI174868,5,8
PI175174,5,8
PI175175,5,8
PI175176,5,8
PI175177,5,8
PI175178,5,8
PI175179,5,8
PI175180,5,8
PI175181,5,8
PI175182,5,8
PI175183,5,8
PI175184,5,8
PI175185,5,8
PI175186,5,8
PI175187,5,8
PI175188,5,8
PI175189,3,8
PI175190,5,8
PI175191,5,8
PI175192,5,8
PI175193,3,8
PI175194,3,8
PI175195,3,8
PI175196,3,8
PI175197,5,8
PI175198,3,8
PI175199,3,8
PI179823,3,8
PI179825,3,8
PI179935,5,8
PI180051,5,8
PI180445,5,8
PI181543,5,8
PI181544,3,8
PI181545,5,8
PI181547,5,8
PI181556,5,8
PI181559,3,8
PI181560,5,8
PI181561,5,8
PI181562,5,8
PI181564,5,8
PI181565,3,8
PI181566,5,8
PI181567,5,8
PI181568,5,8
PI181569,5,8
PI181696,5,8
PI181697,3,8
PI181698,3,8
PI183900,5,8
PI183929,5,8
PI183930,5,8
PI187154,5,8
PI187155,5,8
PI187156,5,8
PI189402,5,8
PI192867,3,8
PI192868,5,8
PI192869,3,8
PI192870,5,8
PI192871,3,8
PI192872,5,8
PI192873,5,8
PI192874,5,8
PI194773,5,8
PI196168,5,8
PI196175,5,8
PI196177,5,8
PI197182,5,8
PI198078,3,8
PI200445,5,8
PI200446,3,8
PI200447,5,8
PI200448,3,8
PI200449,3,8
PI200450,5,8
PI200451,3,8
PI200452,3,8
PI200454,3,8
PI200455,3,8
PI200456,3,8
PI200459,5,8
PI200461,5,8
PI200462,5,8
PI200464,5,8
PI200465,5,8
PI200466,3,8
PI200469,5,8
PI200474,5,8
PI200475,5,8
PI200476,5,8
PI200477,5,8
PI200483,5,8
PI200484,5,8
PI200486,5,8
PI200487,5,8
PI200488,3,8
PI200490,5,8
PI200491,5,8
PI200492,5,8
PI200493,5,8
PI200494,5,8
PI200497,5,8
PI200498,5,8
PI200500,5,8
PI200502,5,8
PI200505,5,8
PI200506,5,8
PI200507,5,8
PI200509,5,8
PI200510,5,8
PI200515,3,8
PI200516,5,8
PI200521,3,8
PI200523,5,8
PI200524,3,8
PI200525,3,8
PI200526,3,8
PI200528,3,8
PI200529,5,8
PI200530,3,8
PI200531,3,8
PI200532,3,8
PI200534,5,8
PI200538,3,8
PI200539,3,8
PI200542,3,8
PI200543,3,8
PI200544,5,8
PI200546,5,8
PI200547,3,8
PI200549,3,8
PI200550,3,8
PI200551,3,8
PI200553,5,8
PI200832,5,8
PI201421,5,8
PI201422,5,8
PI201423,3,8
PI201428,5,8
PI201431,5,8
PI203400,3,8
PI203404,5,8
PI203405,3,8
PI203406,3,8
PI204331,5,8
PI204332,3,8
PI204333,3,8
PI204334,3,8
PI204335,3,8
PI204336,3,8
PI204337,5,8
PI204338,5,8
PI204339,5,8
PI204340,5,8
PI205083,5,8
PI205903,5,8
PI205906,5,8
PI205907,5,8
PI205908,5,8
PI205909,5,8
PI205911,5,8
PI205912,3,8
PI205913,5,8
PI205914,3,8
PI205915,5,8
PI208204,5,8
PI208429,5,8
PI208430,5,8
PI208431,5,8
PI208432,5,8
PI208433,3,8
PI208434,3,8
PI208435,5,8
PI208437,5,8
PI208438,3,8
PI208782,5,8
